,B Cells,Basal,Endothelial,Fibroblasts,Intercalated,Ionocytes,Macrophages,Mucous,Myoepithelial,Myofibroblasts,RBCs,Schwann Cells,Seromucous,Serous,Striated,T Cells
RPS27,0.016817518075307212,0.22159054279327392,0.10135504404703775,0.08779546817143759,0.16173929770787557,0.14451255003611246,0.12974712053934734,0.1420021136601766,0.15035738150278727,0.11795479853947957,0.0002220749855041504,0.0027298768361409503,0.0,0.011328176657358805,0.05714669227600098,0.2549840013186137
HAX1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
DPM3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
SSR2,0.0,0.0,0.0,0.0,0.8267014741897583,0.8566444118817648,0.0,0.8240740617116292,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0
LAMTOR2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
LMNA,0.0,0.0,0.0,0.0,0.9480666319529215,0.9333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TAGLN2,0.0,0.0,0.888825515906016,0.0,0.8666666666666667,0.8901416142781575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TSTD1,0.0,0.0,0.0,0.0,0.8001208941141764,0.8734766681989033,0.0,0.7333333333333333,0.0,0.0,0.0,0.0,0.0,0.738924793402354,0.7596534172693888,0.0
UFC1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
FCER1G,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PBX1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MGST3,0.0,0.0,0.0,0.0,0.7754959106445313,0.7857815782229106,0.0,0.0,0.7834194342295329,0.8184230963389079,0.0,0.0,0.0,0.7333333333333333,0.0,0.0
MPC2,0.0,0.0,0.0,0.0,0.8265003641446431,0.9120862563451131,0.0,0.8573605338732402,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0
ATP1B1,0.0,0.8216142614682516,0.0,0.0,0.78850443760554,0.8094218850135804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7333333333333333,0.847898523012797,0.0
PRRX1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRDX6,0.0,0.9333333333333333,0.0,0.0,0.0,0.9552544236183167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GLUL,0.0,0.8029311696688334,0.7796698093414307,0.8025485118230183,0.7333333333333333,0.0,0.0,0.0,0.7494600574175517,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NIBAN1,0.0,0.0,0.0,0.0,0.9048547267913818,0.0,0.0,0.9169886350631714,0.0,0.0,0.0,0.0,0.0,0.8666666666666667,0.0,0.0
CFH,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CSRP1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9934523900349935,0.0,0.0,0.0,0.0,0.9333333333333333,0.0,0.0
ELF3,0.0,0.0,0.0,0.0,0.9154109636942546,0.9422932545344035,0.0,0.8666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPP1R12B,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BTG2,0.0,0.8773921449979146,0.0,0.0,0.8535003781318664,0.8795637249946594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0
PIGR,0.013060299555460612,0.07851712703704834,0.06347097555796305,0.09428866704305013,0.5532052357991536,0.0,0.10196454922358195,0.4510199228922526,0.07172545989354452,0.1187494436899821,0.14101526339848836,0.2831843376159668,0.33495365381240844,0.18773611386617026,0.2945379455884298,0.15010892152786254
CD55,0.0,0.0,0.0,0.0,0.8885908484458923,0.0,0.0,0.9311315854390462,0.0,0.0,0.0,0.0,0.0,0.8666666666666667,0.0,0.0
CD46,0.0,0.0,0.0,0.0,0.9639252940813701,0.9333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NENF,0.0,0.0,0.0,0.0,0.967145299911499,0.9333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATF3,0.0,0.8260008414586385,0.0,0.0,0.831074595451355,0.8840524315834045,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAPN2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SRP9,0.0,0.0,0.0,0.0,0.0,0.9871040304501851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9333333333333333,0.0,0.0
EPHX1,0.0,0.0,0.0,0.9934809645016988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9333333333333333,0.0,0.0
H3-3A,0.0,0.33557918469111125,0.31979825496673586,0.2792656222979228,0.40815317233403525,0.5521964987119039,0.2839260816574097,0.3299447258313497,0.30071289936701456,0.2928130030632019,0.0,0.2,0.0,0.22674275239308675,0.29818641344706215,0.27595874468485515
ARF1,0.0,0.0,0.0,0.0,0.9080859581629436,0.9364608605702718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8666666666666667,0.0,0.0
GUK1,0.0,0.0,0.8328080773353577,0.0,0.7557629346847534,0.8255145192146301,0.0,0.7516451319058736,0.0,0.0,0.0,0.0,0.0,0.7333333333333333,0.0,0.0
RAB4A,0.0,0.0,0.0,0.0,0.9631003578503926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9333333333333333,0.0,0.0
TOMM20,0.0,0.0,0.0,0.0,0.974386739730835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9333333333333333,0.0,0.0
HNRNPU,0.0,0.0,0.0,0.0,0.9572666803995769,0.9333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACP1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
RPS7,0.013520840803782146,0.2931665341059367,0.11320565144220988,0.06820329030354817,0.1914323369661967,0.14366369644800822,0.1273651639620463,0.13645111719767253,0.22372941970825194,0.12719577550888062,0.0,0.031696009635925296,0.00875247319539388,0.017622939745585122,0.06211028496424357,0.17457621494928996
