,B Cells,Basal,Endothelial,Fibroblasts,Intercalated,Ionocytes,Macrophages,Mucous,Myoepithelial,Myofibroblasts,RBCs,Schwann Cells,Seromucous,Serous,Striated,T Cells
NFE2L2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITPRID2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COL3A1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ORMDL1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
CAVIN2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SF3B1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HSPD1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HSPE1,0.0,0.0,0.0,0.0,0.9107712586720784,0.9565210103988647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8666666666666667,0.0,0.0
SPATS2L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
NDUFB3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
SUMO1,0.0,0.0,0.0,0.0,0.9333333333333333,0.9686922430992126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EEF1B2,0.2,0.4356360713640849,0.24594491720199585,0.2582441449165344,0.33993549744288126,0.27456868092219033,0.4284469286600749,0.34762943983078004,0.3584412137667338,0.31149363120396933,0.0,0.0,0.0,0.24198145071665447,0.20289723873138427,0.40202794869740804
RPL37A,0.0,0.4073251088460286,0.27187801599502565,0.2499351700146993,0.37614240646362307,0.2977737704912821,0.3067243138949076,0.3552479227383932,0.3706486423810323,0.3128263592720032,0.0,0.0,0.2,0.22625659704208373,0.24680858850479126,0.28679808775583904
IGFBP5,0.0,0.0,0.0,0.9333333333333333,0.0,0.0,0.0,0.0,0.0,0.9412841359774272,0.0,0.0,0.0,0.0,0.0,0.0
ARPC2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PNKD,0.0,0.0,0.0,0.0,0.0,0.9869524478912354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9333333333333333,0.0,0.0
ACSL3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DNER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ITM2C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PTMA,0.0,0.3933449069658915,0.4121013561884562,0.24744447072347006,0.29301451444625853,0.49752302169799806,0.3137009620666504,0.23070772091547648,0.326607604821523,0.3805540680885315,0.0,0.2618999401728312,0.0,0.2,0.27628916104634604,0.3230820059776306
EFHD1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLPH,0.0,0.0,0.0,0.0,0.9333333333333333,0.0,0.0,0.9436867435773214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COPS9,0.0,0.0,0.0,0.0,0.8210746129353841,0.8558835705121358,0.0,0.8460267345110576,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0
HDLBP,0.0,0.0,0.0,0.0,0.8873568256696065,0.0,0.0,0.9399740060170492,0.0,0.0,0.0,0.0,0.0,0.8666666666666667,0.0,0.0
BRK1,0.0,0.0,0.0,0.0,0.9070354064305624,0.9234635273615519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8666666666666667,0.0,0.0
RPL32,0.00821526050567627,0.27720544338226316,0.11457037528355916,0.09535226821899415,0.15677618980407715,0.12226802110671997,0.11280510028203329,0.13282128175099692,0.2074133038520813,0.10944351355234781,0.0,0.011620346705118816,0.004432288805643717,0.022977085908253987,0.055120948950449625,0.18015298048655193
FBLN2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LSM3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
RPL15,0.010493020216623941,0.1924559712409973,0.07233535846074422,0.06343714793523153,0.22155818939208985,0.13676957686742147,0.11294498046239217,0.14493109782536825,0.14984896580378215,0.07686004638671876,0.004607601960500082,0.0,0.009735703468322754,0.03910630544026693,0.0687921404838562,0.07721451918284099
GOLGA4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
RPSA,0.13333333333333333,0.3470171173413595,0.23494102954864501,0.250095788637797,0.3456945538520813,0.31990629037221274,0.3121500531832377,0.3249664227167765,0.28789355754852297,0.2546676834424337,0.0,0.0,0.1792404810587565,0.2033813993136088,0.21794337431589764,0.30902669827143353
RPL14,0.003365461031595866,0.2758740464846293,0.05504652261734009,0.07841267188390096,0.17975948254267374,0.15280712842941285,0.08069296280543009,0.14666948318481446,0.17867751121520997,0.09241538445154826,0.0,0.004282176494598389,0.0017426530520121255,0.023321179548899333,0.05990879535675049,0.1445605794588725
HIGD1A,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABHD5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LTF,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMA7,0.0,0.6647283037503561,0.0,0.0,0.6318121830622355,0.7369919300079346,0.0,0.6541499972343445,0.6229975779851278,0.0,0.0,0.0,0.0,0.6,0.0,0.6941061894098918
UQCRC1,0.0,0.0,0.0,0.0,0.0,0.9866547028223673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9333333333333333,0.0,0.0
NDUFAF3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RHOA,0.0,0.0,0.8776613116264343,0.0,0.8479992151260376,0.8835010647773742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0
GNAI2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HYAL2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RPL29,0.005467355251312256,0.2552947680155436,0.07347425619761148,0.07194115320841471,0.167985733350118,0.11257245143254598,0.13217020829518636,0.13065183957417806,0.20224933624267577,0.09759562810262044,0.0,0.021301007270812987,0.002312934398651123,0.01238488753636678,0.049002639452616376,0.11234656174977621
NT5DC2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
SPCS1,0.7610108494758606,0.0,0.0,0.0,0.7453173319498698,0.7621527751286824,0.0,0.7436317483584086,0.0,0.0,0.0,0.0,0.0,0.7333333333333333,0.0,0.0
SELENOK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
