clusterName,gene
Pericyte/SMC,RGS6
Pericyte/SMC,CACNA1C
Myocyte (smooth muscle),MYH11
Fibroblast,LAMA2
Adipocyte,PLIN1
Adipocyte,AQP7
Endothelial cell (lymphatic),MMRN1
Endothelial cell (vascular),PTPRB
Immune (T cell),PARP8
Immune (NK cell),GNLY
Immune (NK cell),AOAH
Immune (B cell),BANK1
Immune (mast cell),TPSB2
Immune (mast cell),TPSAB1
Immune (DC/macrophage),RBM47
Neuronal,NPY
Neuronal,PRPH
Schwann cell,CDH19
ICCs,DPP10
