cluster,count
Myocyte (smooth muscle),13662
Fibroblast,10409
Endothelial cell (vascular),3244
Immune (DC/macrophage),2242
Endothelial cell (lymphatic),1217
Pericyte/SMC,970
Schwann cell,970
Immune (mast cell),721
Immune (T cell),250
ICCs,237
Adipocyte,175
Immune (NK cell),34
Neuronal,25
Immune (B cell),17
