,Adipocyte,Endothelial cell (lymphatic),Endothelial cell (vascular),Fibroblast,ICCs,Immune (B cell),Immune (DC/macrophage),Immune (NK cell),Immune (T cell),Immune (mast cell),Myocyte (smooth muscle),Neuronal,Pericyte/SMC,Schwann cell
PPP1R12B,0.9230769230769231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9317028247393094,0.0,0.0,0.0
BTG2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PLEKHA6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
SRGAP2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PLXNA2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
MTARC1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CDC42BPA,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RYR2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9230769230769231,0.9248741819308355,0.0,0.0
CHRM3,0.0,0.0,0.0,0.0,0.9445214959291311,0.0,0.0,0.0,0.0,0.0,0.9230769230769231,0.0,0.0,0.0
AKT3,0.0,0.0,0.7910403471726638,0.0,0.0,0.0,0.0,0.0,0.8212456932434669,0.0,0.0,0.7746972212424645,0.0,0.7692307692307693
SMYD3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8461538461538461,0.0,0.9088592254198514,0.0,0.856110522380242,0.0,0.0
SNTG2,0.0,0.9357508925291208,0.9230769230769231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ROCK2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LPIN1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RHOB,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITSN2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
BIRC6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LTBP1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
SLC8A1,0.0,0.0,0.0,0.0,0.0,0.0,0.9230769230769231,0.0,0.0,0.0,0.0,0.9325409623292776,0.0,0.0
EML4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9230769230769231,0.9581599327234122,0.0,0.0,0.0,0.0,0.0
PLEKHH2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRKCE,0.9270046261640695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9230769230769231,0.0,0.0
EPAS1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NRXN1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9230769230769231,0.0,0.9761633781286386
SPTBN1,0.7756446508260874,0.8290006334965045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7692307692307693,0.0,0.7802551893087534
RTN4,0.92972666483659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9230769230769231,0.0,0.0
