,Adipocyte,Endothelial cell (lymphatic),Endothelial cell (vascular),Fibroblast,ICCs,Immune (B cell),Immune (DC/macrophage),Immune (NK cell),Immune (T cell),Immune (mast cell),Myocyte (smooth muscle),Neuronal,Pericyte/SMC,Schwann cell
ENSG00000163431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.33321,0.0,0.0,0.0
ENSG00000077157,1.948314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.194385,0.0,0.0,0.0
ENSG00000159388,1.8480757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000143850,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0823475,0.0,0.0
ENSG00000266028,0.0,0.0,0.0,0.0,0.0,0.0,1.9307234,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000076356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0823475,0.0,0.0
ENSG00000186205,2.3442135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000143776,0.0,0.0,2.0196855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000198626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0288086,2.0773444,0.0,0.0
ENSG00000133019,0.0,0.0,0.0,0.0,2.663829,0.0,0.0,0.0,0.0,0.0,1.9212083,0.0,0.0,0.0
ENSG00000117020,0.0,0.0,2.3344724,0.0,0.0,0.0,0.0,0.0,2.7289443,0.0,0.0,2.0773444,0.0,1.9297203
ENSG00000185420,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1912912,0.0,2.160399,0.0,1.3684144,0.0,0.0
ENSG00000172554,0.0,2.7123542,2.2654624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000134318,2.1522925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000134324,2.1727157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000143878,1.7591833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000198399,0.0,0.0,0.0,0.0,0.0,2.5697627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000171094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6527255,0.0,0.0
ENSG00000115760,1.5542091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000049323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2232423,0.0,0.0,0.0
ENSG00000183023,0.0,0.0,0.0,0.0,0.0,0.0,1.9689747,0.0,0.0,0.0,0.0,2.2452083,0.0,0.0
ENSG00000143924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.196681,2.2001014,0.0,0.0,0.0,0.0,0.0
ENSG00000152527,0.0,0.0,0.0,0.0,2.431281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000171132,1.5675876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4875463,0.0,0.0
ENSG00000116016,0.0,0.0,2.6997366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000179915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1891073,0.0,3.8373637
ENSG00000115306,1.8732843,2.4849982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.717089,0.0,1.9337573
ENSG00000115310,1.7403343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5898882,0.0,0.0
ENSG00000115355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1891073,0.0,0.0
ENSG00000115464,1.574229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000173163,1.5243056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000115504,1.6599302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9634924
ENSG00000169764,1.5060248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000143995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1743801,0.0,0.0,0.0
ENSG00000115977,1.5060248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000163017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.702804,0.0,0.0,0.0
