,Adipocytes,Arterial SMC,Arterial endothelial cells,Atria-enriched endothelial cells,Atria-enriched pericytes,Atrial cardiomyocytes,Basic SMC,CMC-like endothelial cells,CMC-like pericytes,Capillary endothelial cells,Cytoplasmic cardiomyocytes,Fibroblast-like endothelial cells,Fibroblasts,Immune-related endothelial cells,Lymphatic endothelial cells,Lymphoid,MT-high fibroblasts,Mast cells,Mesothelial cells,Myeloid,NK cells,Neuronal cells,Stromal pericytes,Venous endothelial cells,Ventricle-enriched pericytes,Ventricular cardiomyocytes
ACTN2,0.0,0.0,0.0,0.0,0.0,2.3750305,0.0,0.0,1.5223418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3953235
ACYP2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.285677
ADAM10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.394754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADAMTS9,0.0,0.0,0.0,0.0,1.3316954,0.0,0.8222414,1.8790898,1.7571962,0.0,0.0,1.1591656,0.0,2.1404524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3287276,1.6217101,1.823711,0.0
ADCY5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8696994
ADD3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3130221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADGRB3,0.0,0.0,0.0,0.0,1.6182969,0.0,0.0,0.0,1.722356,0.0,0.0,1.6200824,1.4941895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.024994,0.0,0.0,1.6113607,0.0
ADGRF5,0.0,0.0,1.9519342,0.0,0.0,0.0,0.0,1.8444805,0.0,1.9893991,0.0,0.0,0.0,2.0017571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADGRL2,0.0,0.0,0.0,0.0,0.0,1.529454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3072903
ADGRL4,0.0,0.0,1.4696794,0.0,0.0,0.0,0.0,0.0,0.0,1.1415904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5336453,0.0,0.0
ADH1B,1.8243648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5135853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADH5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1768581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADI1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0900201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADIPOQ,1.3901694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADIRF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.743607,0.0,0.0,0.0,0.0,0.0,2.2982893,0.0,0.0,0.0
ADK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9988086
ADPRHL1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99296856
AEBP1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8022107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFDN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.49627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
