,Adipocytes,Arterial SMC,Arterial endothelial cells,Atria-enriched endothelial cells,Atria-enriched pericytes,Atrial cardiomyocytes,Basic SMC,CMC-like endothelial cells,CMC-like pericytes,Capillary endothelial cells,Cytoplasmic cardiomyocytes,Fibroblast-like endothelial cells,Fibroblasts,Immune-related endothelial cells,Lymphatic endothelial cells,Lymphoid,MT-high fibroblasts,Mast cells,Mesothelial cells,Myeloid,NK cells,Neuronal cells,Stromal pericytes,Venous endothelial cells,Ventricle-enriched pericytes,Ventricular cardiomyocytes
EIF4A1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.83580804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EIF4A2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4637783,0.0,0.0,0.0,1.2333746,0.0,0.0,0.0,0.0,0.0
EIF4G2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9941467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EIF4G3,0.0,0.0,0.0,1.487458,0.0,0.0,0.0,0.0,0.5517071,0.0,0.0,1.7026246,0.0,0.0,0.0,0.0,0.0,0.0,1.0982792,1.2154814,0.0,0.0,0.0,0.0,0.0,0.0
EIF5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2890958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ELF1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3685236,0.0,0.0,0.0,0.0,0.0,1.1010181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6998642
ELF2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.623505,0.0,0.0,0.0,0.0,0.0,0.0,1.215482,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ELK3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.513803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6047565,0.0,0.0
ELL2,1.4809068,0.0,0.0,0.0,0.0,0.89635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0765747,0.0,0.0,0.0,0.0,0.0,0.0,0.9402218
ELMO1,0.0,0.0,0.0,2.085635,0.0,0.0,0.0,1.7453895,0.0,0.0,0.0,1.8296188,0.0,0.0,1.991719,0.0,0.0,2.5697627,0.0,1.9703016,0.0,0.0,0.0,1.3806585,0.0,0.0
ELMOD3,1.2227881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ELN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9787507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ELOB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3293402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ELOVL5,0.69510293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EMC7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.73009074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EMCN,0.0,0.0,1.5104088,2.6903114,0.0,0.0,0.0,1.889313,0.0,1.7389795,0.0,1.7494996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0998611,0.0,0.0
EMP1,0.64156055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1433334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EMP2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4576795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EMP3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2283119,0.0,0.0,0.0,1.7328193,0.0,0.0,0.0,0.0,0.0
ENG,0.0,0.0,2.4759707,2.3819876,0.0,0.0,0.0,2.3627398,0.0,2.1844094,0.0,1.9858662,0.0,1.9362864,0.0,0.0,1.4184881,0.0,0.0,0.0,0.0,0.0,0.0,1.5012641,0.0,0.0
ENO1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1072869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENY2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7254968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EPAS1,0.0,0.0,2.4910707,0.0,0.0,0.0,0.0,1.824801,0.0,1.8885984,0.0,1.2987993,0.0,1.8182864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6253048,1.535358,0.0,0.0
EPB41L2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3359156,0.0,0.0,1.5241655,0.0,0.0,0.0,0.0,0.0,0.0,1.9416366,0.0,0.0,0.0,0.0
EPB41L4A,0.0,0.0,0.0,1.9708331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2064638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EPC1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7789308
EPHX1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.559231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EPS15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3644967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EPS8,0.9870697,0.0,0.0,0.0,2.6877544,0.0,1.6652974,0.0,2.350629,0.0,0.0,0.9611627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1489394,0.0,2.7309332,0.0
ERBB4,0.0,0.0,0.0,0.0,0.0,2.6397963,0.0,0.0,1.2208469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0085423
ERC1,0.8593044,0.0,0.0,0.0,0.0,1.454904,0.0,0.0,1.4840201,0.0,0.0,1.5742291,0.0,0.0,0.0,0.0,0.0,0.0,0.93183804,0.0,0.0,0.0,0.0,0.0,0.0,1.3497151
ERGIC3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.84441304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.032004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERRFI1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.81213826,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ESAM,0.0,0.0,1.2277997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9642185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ESD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9363396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ESRRG,0.0,0.0,0.0,0.0,0.0,1.8140113,0.0,0.0,0.59440464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1610782
ETS2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9145611,0.0,0.0
ETV6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6516236,0.0,0.0,0.0,0.0,0.0,0.0
EVA1C,0.0,0.0,0.0,1.3541749,0.0,0.0,0.0,1.0308424,0.0,0.0,0.0,1.4815197,0.0,0.0,0.0,0.0,0.0,0.0,1.4233721,0.0,0.0,0.0,0.0,1.1112025,0.0,0.0
EVL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6347094,0.0,0.0,0.0,0.0,0.0
EXOC4,1.3799901,0.0,0.0,1.6295782,0.0,0.0,0.0,0.0,1.2252456,0.0,0.0,1.7068582,0.0,0.0,1.6551207,0.0,0.0,0.0,1.4400628,0.0,0.0,0.0,0.0,0.0,0.0,1.0310165
EXOC6B,1.0492932,0.0,0.0,1.331182,0.0,2.393362,0.0,0.0,1.8728182,0.0,0.0,1.6556326,0.0,0.0,0.0,0.0,0.0,1.9540108,1.6381283,0.0,0.0,0.0,0.0,0.0,0.0,2.341817
EXT1,0.61006343,0.0,0.0,1.5195469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7142372,0.0,0.0,0.0,0.0,0.0,0.0,1.2779677,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EYA4,0.0,0.0,0.0,0.0,0.0,1.4321051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98469985
EZR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.219491,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F13A1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8838162,0.0,0.0,0.0,0.0,0.0,0.0
F8,0.0,0.0,1.9753116,0.0,0.0,0.0,0.0,1.942404,0.0,2.1549857,0.0,0.0,0.0,2.0918336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FABP4,1.2609931,0.0,2.8339665,0.0,0.0,0.0,0.0,0.0,0.0,2.464451,0.0,0.0,0.0,2.4511952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6839328,0.0,0.0,0.0
FABP5,0.0,0.0,2.7862883,0.0,0.0,0.0,0.0,0.0,0.0,2.96461,0.0,0.0,0.0,2.7793782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.099023,0.88564956,0.0,0.0
FAF1,1.3676507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3295445,0.0,0.0,1.197677,0.0,0.0,1.5767413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3011527
FAM107A,0.0,0.0,0.9755477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FAM107B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4318019,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FAM13B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9046314
NALF1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85743195,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARB2A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3307723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FASN,1.6937499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FAU,0.0,0.0,2.0577414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.908872,0.0,0.0,2.6178687,0.0,0.0,0.0,2.4904785,0.0,1.7793677,0.0,0.0,0.0
FBLN1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3745885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FBLN2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.35623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FBLN5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2065227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FBN1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3145244,1.8133311,0.0,0.0,0.0,1.2338057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FBXL17,0.9148681,0.0,0.0,0.0,0.0,0.7830529,0.0,0.0,1.0559711,0.0,0.0,0.9569416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5480586
FBXL7,0.0,0.0,0.0,1.8850361,0.0,1.222619,0.0,1.7137241,1.3995647,0.0,0.0,2.4386578,2.5033476,0.0,2.2233648,0.0,0.0,0.0,1.3223346,0.0,0.0,0.0,0.0,0.0,0.0,1.5521525
FBXO40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.50412333
FBXW7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1904196
FCER1G,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2077827,0.0,0.0,0.0,0.0,0.0
FCGR3A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1432714,0.0,0.0,0.0,0.0,0.0
FCGRT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0598994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FCHSD2,0.0,0.0,0.0,1.7631744,0.0,0.0,0.0,0.0,1.1812228,0.0,0.0,1.7184982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4394888,0.0,0.0,0.0,0.0,0.0,1.0691699
FER,0.0,0.0,0.0,1.2929186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4762878,0.0,0.0,0.0,0.0,0.0,3.165175,1.6472883,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FGF12,0.0,0.0,0.0,0.0,0.0,3.8819447,0.0,0.0,2.9935973,0.0,2.8915532,1.3385041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0085487
FGF7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9351158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FGFBP2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0331244,0.0,0.0,0.0,0.0,0.0
FGFR1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7873028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FHIT,1.6210585,0.0,0.0,0.0,0.0,2.142275,0.0,0.0,1.4790288,0.0,0.0,1.0111318,0.0,0.0,0.0,0.0,0.0,0.0,1.2523167,0.0,0.0,0.0,0.0,0.0,0.0,2.1969876
FHL1,0.0,1.6724615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4398983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6012897
FHL2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6722536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8009849
FHOD3,0.0,0.0,0.0,0.0,0.0,0.97459626,0.0,0.0,1.5877167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4731817
FIBIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8610151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FIGN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.784961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6935091,0.0,0.0,0.0,0.0
FILIP1,0.0,1.2008319,0.0,0.0,0.0,2.5764728,0.0,0.0,1.9745634,0.0,0.0,1.1602099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4660518
FILIP1L,0.0,1.0121899,0.0,0.0,0.0,0.0,0.0,0.0,0.88387203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FIS1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.989452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FKBP1A,0.0,0.0,1.4587762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9125514,0.0,0.0,1.0239323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FKBP2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.86657083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FKBP5,2.3318658,0.0,0.0,0.8074736,0.0,0.0,0.0,0.0,0.91294384,0.0,0.0,2.351059,1.8807838,0.0,0.0,0.0,0.0,2.4709966,0.92413497,2.163801,0.0,0.0,0.0,0.0,0.0,0.7241797
FKBP8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.80940545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FLI1,0.0,0.0,0.0,1.4496397,0.0,0.0,0.0,0.79395187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0805442,0.0,0.0
FLNA,0.0,1.7411096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58253753,0.0,0.0,0.0
FLRT2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0810071,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FLT1,0.0,0.0,2.1599464,1.408369,0.0,0.0,0.0,2.4619205,0.0,2.2022178,0.0,1.3676522,0.0,2.2552722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8709565,0.0,0.0
FMN1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2954166,0.0,0.0,0.0,0.0,0.0,0.0
FMO2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6891749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FN1,0.0,1.1531073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8274233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FNDC3A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0646095,0.0,0.0,0.0,0.0,0.0,0.0,1.051832
FNDC3B,2.1402867,0.0,0.0,1.9123055,0.0,1.7197176,0.0,0.0,1.7015238,0.0,0.0,2.2024863,2.3046622,0.0,1.661139,0.0,0.73519766,0.0,2.1941018,0.0,0.0,1.27678,0.0,0.0,0.0,1.4903817
FNIP2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8953636
FOS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1746056,0.0,2.065473,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FOSL2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2605867,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FOXN3,1.4869279,0.0,0.0,0.0,0.0,0.0,0.0,1.7752846,0.0,0.0,0.0,1.8412538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7318614,0.0,0.0,0.0,0.0,0.0,0.95032346
FOXO1,2.7114224,0.0,0.0,1.5601213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8737515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2763703,0.0,0.0,0.0,0.0
FOXO3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.605768,0.0,0.0,0.0,0.0,0.0,0.0,0.9126874,0.0,0.0,0.0,0.0,0.0,0.0,0.6477548
FOXP1,1.1991297,0.62061256,0.0,2.7862883,0.0,1.1318867,0.0,0.62268764,1.5961318,0.0,0.0,2.1469064,0.0,0.0,2.504895,0.0,0.0,2.9926975,1.7405603,1.88638,0.0,0.0,0.0,2.0578904,0.0,1.5616077
FOXP2,1.4886967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FRAS1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1896636,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FRMD3,0.0,0.0,0.0,0.0,2.049153,0.0,0.0,0.0,2.3573835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5663872,0.0,2.766516,0.0
FRMD4A,2.2905633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4890418,0.0,0.0,0.0,0.0
FRMD4B,0.0,0.0,0.0,1.2146477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3322296,0.0,0.0,0.0,0.0,2.5147595,0.0,0.0,0.0,0.0,0.0,0.0
FRMD5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7223561,0.0,0.0,0.0,0.0
FRY,0.0,1.4877232,0.0,0.0,0.0,0.7616855,0.0,0.0,1.8598843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8077706
FRYL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2806817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FSD2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9008825
FSTL1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5302333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FTH1,0.0,0.0,2.6472206,0.0,0.0,0.0,0.0,1.2111605,0.0,2.7363145,0.0,0.0,0.0,2.9823232,0.0,1.7710233,4.030101,0.0,1.7871907,1.588414,2.7971618,0.0,2.5194726,0.0,0.0,0.0
FTL,0.0,0.0,2.3693016,0.0,0.0,0.0,0.0,0.0,0.0,2.340388,0.0,0.0,0.0,2.4774687,0.0,0.0,3.7617018,0.0,0.0,0.0,2.8234167,0.0,1.9618496,0.0,0.0,0.0
FTO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0471876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FTX,2.479136,2.1206744,0.0,2.5137157,2.3878427,2.1312916,1.8850361,1.803946,2.3811555,0.0,0.0,2.7046733,2.754724,0.0,2.4174407,0.0,0.0,2.3938143,1.9188919,1.796777,0.0,2.3104074,0.0,1.3814424,2.1747873,2.0594764
FUNDC2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.70901644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
