subclass.full,mean,std,median,count,q1,q3,f_score
Plasmacytoid Dendritic Cell,0.8049591064018877,0.12817484653454836,0.8537886131024239,31,0.8156158391569761,0.8679570232457492,0.9009009009009008
Outer Medullary Collecting Duct Intercalated Cell Type A,0.7240448080216972,0.24408132470567434,0.8141862659159604,50,0.7703612074234378,0.8277067206981225,0.7758620689655172
Classical Dendritic Cell,0.7626595984765563,0.11818841899983518,0.8127303137395607,49,0.7678438573549619,0.8268660649231808,0.8536585365853658
Intercalated Cell Type B,0.7471903822790847,0.24837111299719522,0.8099273795303297,50,0.7790041737235665,0.8246456788908264,0.7746478873239436
Degenerative Cortical Thick Ascending Limb Cell,0.7525335878681655,0.12005627989840183,0.7933549630891412,50,0.7489550942971905,0.8226478548183861,0.635593220338983
Glomerular Capillary Endothelial Cell,0.766235247117461,0.0970767679512934,0.7930238528359497,50,0.7691067607248574,0.8104639294838856,0.746268656716418
Parietal Epithelial Cell,0.7097901525282434,0.30511717807966304,0.7899504013786337,50,0.7564030826142636,0.8059707609219559,0.6372549019607843
Schwann Cell / Neural,0.6963761063773508,0.28784348214987576,0.7805829792188739,35,0.7614151040586022,0.7855988999734013,0.9523809523809524
Proximal Tubule Epithelial Cell Segment 3,0.7270301438710015,0.1339405864956559,0.7717932980264386,50,0.7064600948601218,0.8056353588330423,0.7246376811594203
Mesangial Cell,0.7070259433215742,0.13333530280741848,0.7713301110933934,50,0.6696652640185331,0.7946087577506764,0.7105263157894737
Inner Medullary Collecting Duct Cell,0.685919907955796,0.16498475300318927,0.7449632542972541,50,0.6853484356508339,0.7687336929071286,0.6818181818181818
Non-classical Monocyte,0.6561601943283155,0.24681086425243437,0.7315214369449664,50,0.6746616890466992,0.7529676099400379,0.6343283582089553
Medullary Thick Ascending Limb Cell,0.6651395296072601,0.11867857561910305,0.730504403113142,40,0.574047515296179,0.7507902585287887,0.7258064516129032
Degenerative Medullary Fibroblast,0.6882723944145791,0.17824578263209864,0.7304526844645034,50,0.6670723049469867,0.7781259330704317,0.2406417112299465
Adaptive / Maladaptive / Repairing Fibroblast,0.6528570067174535,0.14972132312342953,0.7242713010880134,49,0.5979506983914615,0.7500179337845307,0.594059405940594
Macula Densa Cell,0.5640873562501207,0.24133665461331488,0.6537253266348921,50,0.5182311919666143,0.6871319625397566,0.704225352112676
Outer Medullary Collecting Duct Principal Cell,0.47770900201564614,0.31816463476438317,0.6332894002347971,50,0.40955697552513254,0.6644945442942054,0.6818181818181818
Degenerative Podocyte,0.5504871209264138,0.19868309540809487,0.6108558381243561,50,0.5148360259359921,0.6807383812008643,0.8734939759036144
Ascending Vasa Recta Endothelial Cell,0.4804847568541554,0.24469727742300337,0.6066512748811572,49,0.3690425193569837,0.6597667802255993,0.72
M2 Macrophage,0.522738846440479,0.26956774845061887,0.6051206960906266,50,0.49595521446615837,0.6682521159506137,0.7142857142857143
Descending Thin Limb Cell Type 2,0.4746861296062123,0.26105034271848315,0.5946821699642209,46,0.39721386805224523,0.6366242257645933,0.6626506024096386
Lymphatic Endothelial Cell,0.4765303023164087,0.3642324904398954,0.5817410940637118,49,0.5684243340427813,0.5862359077656756,0.8883248730964467
Ascending Thin Limb Cell,0.4581274063618028,0.2300325466290562,0.5617391445178002,50,0.3961533044723749,0.6173570300298193,0.6159420289855072
Plasma Cell,0.3797704071818918,0.44487943301869415,0.5588288511158092,49,0.4817811730027632,0.5735665375826845,0.7894736842105263
Degenerative Descending Thin Limb Cell Type 3,0.42009055218034086,0.3220576286965649,0.5479009524454651,50,0.4759447693334413,0.5781000781589811,0.7865168539325843
B Cell,0.44376327695954537,0.26516776995857416,0.5266063392342653,50,0.40198145888327763,0.5862104150856767,0.7731958762886598
Podocyte,0.37967680404907234,0.3368690484106441,0.5263986558657743,50,0.26723639898859863,0.5808046309211277,0.9020618556701032
Descending Thin Limb Cell Type 3,0.4069304230492174,0.272193968584701,0.5125120199647866,50,0.28415397941049036,0.5973378016863571,0.6140350877192983
Degenerative Fibroblast,0.3548463911970632,0.389277490359101,0.5124663722742087,50,0.3596962863586847,0.585139361885924,0.8116883116883117
Natural Killer Cell / Natural Killer T Cell,0.3769972680303299,0.2583472360067925,0.5008736706779675,50,0.28841666341778704,0.5387772321486327,0.7795698924731183
Distal Convoluted Tubule Cell Type 2,0.46380300871885,0.13624615584576905,0.483325076950806,50,0.38815238485634385,0.5848029677867009,0.5371900826446281
T Cell,0.3054482957529406,0.3247058850950842,0.47919279781232504,50,0.1926404163016384,0.5433424202778979,0.6470588235294118
Descending Thin Limb Cell Type 1,0.34120832099116816,0.29454058955972096,0.4546642586485062,39,0.33798712577189777,0.5183898911873821,0.6796116504854369
Cortical Collecting Duct Intercalated Cell Type A,0.33635782731721975,0.3152633096302374,0.45315144806478247,50,0.3117840656186185,0.5055103226289918,0.5909090909090909
Adaptive / Maladaptive / Repairing Proximal Tubule Epithelial Cell,0.3587816850682414,0.2780612193283066,0.4527389340629498,50,0.2445200206129838,0.5750222769300005,0.6790123456790124
Papillary Tip Epithelial Cell,0.38160330950450777,0.2533455404913658,0.4510651377283347,49,0.3477636030208269,0.5386183187804902,0.7894736842105263
Fibroblast,0.304714261301903,0.2730147041810724,0.4194764509715384,50,0.19134424124706706,0.48107968807152257,0.5670103092783505
Connecting Tubule Cell,0.2751517066874722,0.32528260338818377,0.4126601542390608,50,0.06084776224933837,0.5301460482082698,0.4477611940298507
Afferent / Efferent Arteriole Endothelial Cell,0.22506240863736246,0.3089174097740745,0.4102370621259762,49,0.1441778882810456,0.4365317299007723,0.6185567010309279
Degenerative Peritubular Capilary Endothelial Cell,0.30376969478109095,0.23130653291679146,0.3460904446324778,49,0.2686946424581861,0.4155131216651967,0.4901960784313725
Vascular Smooth Muscle Cell,0.26832104125482414,0.19914186019643482,0.3388329829355029,50,0.10753624982651137,0.43985872768890333,0.7666666666666667
Descending Vasa Recta Endothelial Cell,0.22301703096215353,0.2678966735187824,0.3169368413706126,50,0.15685923475724342,0.4161431786428554,0.6363636363636364
Cortical Thick Ascending Limb Cell,0.19513838034183933,0.31919579059276587,0.3099479693004224,49,0.0850721891133837,0.4180655364992123,0.6015037593984962
Cycling Myofibroblast,0.22355585127358157,0.3042172354580028,0.30860587259463435,18,0.2508233520600438,0.3949173451202467,0.4285714285714285
Degenerative Connecting Tubule Cell,0.1827846764179593,0.31744617240729484,0.2984648435525262,50,0.09667167012438595,0.3998455319823299,0.5
Cortical Collecting Duct Principal Cell,0.10989151790871186,0.38001050291316935,0.2853455916700607,50,-0.22659094947840455,0.4318255379052578,0.5666666666666667
Peritubular Capilary Endothelial Cell ,0.2275203809959416,0.288489582889917,0.28246018221000846,50,0.055515082793311424,0.48249579719122293,
Degenerative Distal Convoluted Tubule Cell,0.15649610278954915,0.29004949150319215,0.2612751852451062,50,-0.002446385062925348,0.39072019185794804,0.7792207792207793
Vascular Smooth Muscle Cell / Pericyte,0.1653244317784493,0.25707920594964534,0.22780843969862424,48,0.0666909483431365,0.3800700823518676,0.5067567567567568
Monocyte-derived Cell,0.10110675363465671,0.26175735019239865,0.1939335212317657,49,0.0110697630187398,0.26313681953642,0.3875968992248062
Mast Cell,0.08804653608680033,0.2493006003695763,0.15298670087476385,50,0.13304735905550555,0.17165054578242084,0.8908045977011494
Adaptive / Maladaptive / Repairing Thick Ascending Limb Cell,0.07206678064352508,0.3273160056191675,0.1518465485715798,50,-0.07603281022157142,0.32534719258661865,0.6363636363636364
Connecting Tubule Principal Cell,-0.00756924747302022,0.34389011421388394,0.1065544431594048,50,-0.2883070697805398,0.26349340784192776,0.5072463768115942
Cycling Endothelial Cell,-0.07161059583664744,0.3315870312532169,0.06707450597167841,50,-0.36668257780932456,0.22740872833110318,0.5454545454545454
Degenerative Inner Medullary Collecting Duct Cell,-0.033088656904946716,0.2687542253632151,0.0443402225454373,50,-0.22699698016829628,0.17756869304665648,0.6012658227848101
Cycling Natural Killer Cell / Natural Killer T Cell,-0.03035335356349108,0.3454829747624439,0.010635124050223446,16,-0.28889375610630874,0.29993966679093725,0.8928571428571429
Connecting Tubule Intercalated Cell Type A,-0.11349715646269293,0.2857538056272095,-0.0017057664129657,50,-0.1498547310391257,0.07971322304088378,0.3246753246753247
Medullary Fibroblast,-0.12612817846765667,0.25651554763948575,-0.0743508535457962,49,-0.2803729325353259,0.0717520140383971,0.7092198581560284
Renin-positive Juxtaglomerular Granular Cell,-0.2270148278161841,0.23353912520564568,-0.131603566742237,50,-0.3122167938842818,-0.057858572618849975,0.9541984732824428
Distal Convoluted Tubule Cell Type 1,-0.15640188286796208,0.24028743668929614,-0.1333894142071461,50,-0.35944444242313595,0.0410040817630482,0.635593220338983
Degenerative Cortical Intercalated Cell Type A,-0.20438938341281435,0.24561208291897868,-0.1444477832522763,50,-0.20501000138568642,-0.05316560933113168,0.660377358490566
Degenerative Outer Medullary Collecting Duct Principal Cell,-0.19930598357235565,0.26508900197064705,-0.15432722678814342,48,-0.3993058962383471,0.02883299304261175,0.4642857142857143
Cycling Mononuclear Phagocyte,-0.3290073300124743,0.3576013978673005,-0.2004499865236603,47,-0.7643588327437034,-0.019077374528923552,0.4878048780487805
Neutrophil,-0.4028840649376806,0.30171955781172627,-0.2199029837032413,50,-0.7290984289774212,-0.19063917575436756,0.8168316831683168
Myofibroblast,-0.293694964147622,0.15012970818065563,-0.3107172701968849,50,-0.3788037736278335,-0.2603943970721543,0.6363636363636364
Proximal Tubule Epithelial Cell Segment 1 / Segment 2,-0.25621674356088575,0.3452472092928113,-0.3276356946480571,50,-0.593555197947072,0.12391000668536659,0.7017543859649122
Degenerative Proximal Tubule Epithelial Cell,-0.29234623285433764,0.23267835014311022,-0.33021190776339254,50,-0.443599855079541,-0.10611526312727523,0.6818181818181818
Transitional Principal-Intercalated Cell,-0.3642748192343751,0.2521753012025358,-0.35812575060783003,50,-0.5249461996762808,-0.13918129498456747,0.7142857142857143
Cycling Connecting Tubule Cell,-0.2862956357696375,0.2540406172781315,-0.387893202855322,11,-0.46373797334089034,-0.049479402992482796,0.3333333333333333
Degenerative Endothelial Cell,-0.45086442725587844,0.14233822796337747,-0.40188773203132305,50,-0.49868919811003193,-0.3609854709535043,0.425531914893617
Cycling Distal Convoluted Tubule Cell,-0.42019541492534435,0.16299448037126266,-0.4276251380931075,6,-0.5284698474111098,-0.2858477603049875,0.7142857142857143
Degenerative Vascular Smooth Muscle Cell,-0.47404853362901034,0.1438759918880776,-0.4913191381151746,50,-0.5720853876572192,-0.4179929276004736,0.8620689655172413
Degenerative Ascending Thin Limb Cell,-0.5929073410356827,0.10981827050729659,-0.5600444436322932,50,-0.6525811948723683,-0.5309901425783525,0.6159420289855072
Cycling Proximal Tubule Epithelial Cell,-0.735515175972223,0.13574317272530528,-0.7411153674413293,48,-0.8041213394613984,-0.6981163583285867,0.4347826086956521
Degenerative Medullary Thick Ascending Limb Cell,-0.7610301864081553,0.07667249029038198,-0.7644752749865487,42,-0.8180555539603308,-0.7035132022990509,0.3947368421052631
