cluster,n_cells,percentage
Adipocyte,175,0.51
Endothelial cell (lymphatic),1217,3.56
Endothelial cell (vascular),3244,9.49
Fibroblast,10409,30.46
ICCs,237,0.69
Immune (B cell),17,0.05
Immune (DC/macrophage),2242,6.56
Immune (NK cell),34,0.1
Immune (T cell),250,0.73
Immune (mast cell),721,2.11
Myocyte (smooth muscle),13662,39.98
Neuronal,25,0.07
Pericyte/SMC,970,2.84
Schwann cell,970,2.84
