clusterName,gene
Lymphocyte,CCL5
Mural cell,ACTA2
Mural cell,TPM2
Fibroblast,DCN
Fibroblast,SERPINF1
Endothelia,EGFL7
Endothelia,IFI27
Neutrophil,ALOX5AP
MP & DC,AIF1
MP & DC,LYZ
