clusterName,NSForest_markers,f_score,onTarget,precision,recall
Lymphocyte,['CCL5'],0.9426745051729006,1.0,0.9718142119888844,0.8417191977077364
Mural cell,"['ACTA2', 'TPM2']",0.9155908639523336,1.0,0.9766949152542372,0.7323272438443209
Fibroblast,"['DCN', 'SERPINF1']",0.96994730095428,1.0,0.9826839826839828,0.9221394719025052
Endothelia,"['EGFL7', 'IFI27']",0.9109225874867444,1.0,0.9761363636363636,0.7188284518828452
Neutrophil,['ALOX5AP'],0.4166666666666667,1.0,0.8,0.1428571428571428
MP & DC,"['AIF1', 'LYZ']",0.962159434914228,1.0,0.996342737722048,0.8460514640638864
