clusterName,gene
Cardiomyocyte,CMYA5
Cardiomyocyte,NEBL
Neuronal,NRXN1
Lymphoid,SKAP1
Lymphoid,CD247
Myeloid,F13A1
Endothelial,VWF
Smooth Muscle,NTRK3
Pericyte,FRMD3
Pericyte,GUCY1A2
Fibroblast,BICC1
Fibroblast,DCN
