,Cardiomyocyte,Endothelial,Fibroblast,Lymphoid,Myeloid,Neuronal,Pericyte,Smooth Muscle
AFDN,0.0,0.9589028358459473,0.8571428571428571,0.0,0.0,0.0,0.0,0.0
AFF1,0.14749486105782644,0.23904154130390712,0.29330853053501676,0.19765970536640712,0.48395995582853046,0.0,0.14285714285714285,0.18974482161658152
AFF4,0.4325340986251831,0.0,0.42857142857142855,0.0,0.43974047899246216,0.0,0.44517516238348825,0.5411827989986965
AGAP1,0.42857142857142855,0.4783616236277989,0.5324681912149701,0.0,0.0,0.7226958019392831,0.5563648598534721,0.0
AGFG1,0.0,0.0,0.8571428571428571,0.0,0.9358495814459664,0.0,0.0,0.0
AGO2,0.0,0.0,0.8571428571428571,0.0,0.0,0.0,0.0,0.8875700831413269
AGO3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
AGT,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
AGTPBP1,0.0,0.0,0.0,0.8571428571428571,0.8606413006782532,0.0,0.0,0.0
AHI1,0.7619204436029706,0.0,0.7967917152813503,0.0,0.0,0.0,0.0,0.7142857142857143
AHNAK,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
AIG1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AKAP10,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
AKAP12,0.0,0.8107843399047852,0.7142857142857143,0.0,0.0,0.0,0.0,0.7904938459396362
AKAP13,0.35289924485342844,0.0,0.1489663634981428,0.09498453140258789,0.22036641836166382,0.05448522738048008,0.058567208903176446,0.07065544809613909
AKAP6,0.9484715802328927,0.0,0.0,0.0,0.0,0.0,0.0,0.8571428571428571
AKAP9,0.4192637971469334,0.0,0.2952041966574533,0.4139494981084551,0.3124032531465803,0.30098362479891094,0.2857142857142857,0.0
AKNA,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
AKT3,0.0,0.31989817108426777,0.351071298122406,0.3501857263701303,0.0,0.3769408975328718,0.3291716320174081,0.2857142857142857
PDE7B-AS1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ENSG00000230490,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
TRDN-AS1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALCAM,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ALDH1A1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ALG13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ALOX5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ALPK2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALPK3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANK2,0.8642617208617074,0.0,0.0,0.0,0.0,0.8571428571428571,0.0,0.0
ANK3,0.7922444769314357,0.0,0.0,0.7142857142857143,0.0,0.8611676437514169,0.0,0.0
ANKH,0.6903896331787109,0.0,0.6742045879364014,0.0,0.5714285714285714,0.0,0.5874636258397784,0.0
ANKRD1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANKRD10,0.0,0.0,0.7142857142857143,0.0,0.0,0.7808560814176287,0.7445900780814034,0.0
ANKRD11,0.009255179337092809,0.10033053159713745,0.01761063507625035,0.3233372909682138,0.11706491027559553,0.0,0.01388019323348999,0.0635887725012643
ANKRD17,0.09013831615447998,0.010940747601645333,0.05305919476917812,0.017873942852020264,0.022029868194035122,0.0,0.06004514013017927,0.10213226931435722
ANKRD28,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ANKRD36,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ANKRD36C,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ANKRD44,0.0,0.0,0.49546514238630024,0.749090816293444,0.49955642223358154,0.42857142857142855,0.4700453622000558,0.0
ANKS1A,0.7142857142857143,0.0,0.0,0.0,0.857528703553336,0.0,0.7205703428813389,0.0
ANO1,0.0,0.0,0.0,0.0,0.0,0.0,0.8571428571428571,0.8927930167743138
ANO2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ANO5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANO6,0.7142857142857143,0.7361473952020917,0.7957079751150948,0.0,0.0,0.0,0.0,0.0
ANTXR1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ANTXR2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ANXA2,0.0,0.0,0.8571428571428571,0.0,0.0,0.9040589162281581,0.0,0.0
ANXA3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
AOAH,0.0,0.0,0.0,0.9401676569666181,0.8571428571428571,0.0,0.0,0.0
AP1S2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AP2A2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
AP3B1,0.0,0.0,0.8571428571428571,0.0,0.9036692125456673,0.0,0.0,0.0
APBB1IP,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
APBB2,0.0,0.7142857142857143,0.0,0.0,0.0,0.0,0.722145710672651,0.7558138796261379
APOD,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
APOLD1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
APP,0.0,0.6588200415883746,0.6111508096967425,0.0,0.5844372085162571,0.5714285714285714,0.0,0.0
ARAP2,0.0,0.0,0.0,0.7869577663285392,0.7142857142857143,0.7636108568736485,0.0,0.0
ARFGEF1,0.7142857142857143,0.0,0.7271302853311811,0.7914187226976667,0.0,0.0,0.0,0.0
ARFGEF2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARGLU1,0.0,0.5023629239627293,0.340195289679936,0.31311687401362825,0.0,0.2857142857142857,0.348909250327519,0.36466277497155325
ARHGAP10,0.5714285714285714,0.0,0.6165321213858468,0.0,0.0,0.0,0.6661253316061837,0.6523484247071403
ARHGAP15,0.0,0.0,0.0,0.7952112896101815,0.633206273828234,0.6196421555110386,0.5714285714285714,0.0
ARHGAP17,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ARHGAP18,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ARHGAP21,0.0,0.0,0.9133415307317462,0.0,0.8571428571428571,0.0,0.0,0.0
ARHGAP24,0.5714285714285714,0.0,0.5929085612297058,0.0,0.5894187007631574,0.7323108741215297,0.0,0.0
ARHGAP26,0.2857142857142857,0.32314162594931467,0.0,0.28571851764406475,0.42279172795159475,0.0,0.39318154539380756,0.4699171100343977
ARHGAP29,0.0,0.9018162829535348,0.0,0.0,0.0,0.0,0.8571428571428571,0.0
ARHGAP31,0.8571428571428571,0.9349697061947414,0.0,0.0,0.0,0.0,0.0,0.0
