,Acinar-mix,Activated stellate cells,Alpha cells,Beta cells,Delta cells,Ductal cells,Endothelial cells,Gamma cells,Idling acinar cells,MUC5B+ ductal cells,Macrophages,Quiescent stellate cells,Secretory acinar cells
ENSG00000162438,3.61868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1950865
ENSG00000138161,2.3752959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000276644,0.0,0.0,2.1963363,0.0,1.5865338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000126733,0.0,0.0,0.0,1.0044158,0.0,0.0,0.0,1.8129451,0.0,0.0,0.0,0.0,0.0
ENSG00000150672,0.0,0.0,0.0,1.9830699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000198947,0.0,0.0,2.2501297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1453183,0.0
ENSG00000175497,1.4485184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000130226,0.0,0.0,2.8832853,2.6151948,2.4063702,0.0,0.0,2.4873338,0.0,0.0,0.0,0.0,0.0
ENSG00000188641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9858662,0.0,0.0
ENSG00000134769,2.0877988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000164330,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7415044,0.0
ENSG00000164035,0.0,0.0,0.0,0.0,0.0,0.0,1.698801,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000116016,0.0,0.0,0.0,0.0,0.0,0.0,1.9732347,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000196482,0.0,0.0,0.0,0.0,0.0,2.224345,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000131558,2.1318917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000135842,1.895535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000204442,0.0,0.0,0.0,1.6362066,0.0,0.0,0.0,2.4477968,0.0,0.0,0.0,0.0,0.0
ENSG00000078098,0.0,0.0,1.6795247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000183580,0.0,1.5686405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000139132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2182486,0.0,0.0,0.0
ENSG00000102466,0.0,0.0,0.0,1.5681162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000189283,1.9874268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0742407,0.0,0.0,0.0
ENSG00000096060,2.327763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000102755,0.0,0.0,0.0,0.0,0.0,0.0,2.1789467,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000155816,0.0,0.0,0.0,1.2572472,1.4756486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000102531,1.7684009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000075420,2.122614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000053254,1.5116472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000114861,1.9314793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000128573,2.0174205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000230590,0.0,0.0,1.7761846,1.5857067,1.9151955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000141441,1.7591844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000115263,0.0,0.0,5.5210047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000107249,0.0,0.0,0.0,0.0,0.0,2.9004393,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000250903,1.6751025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000144674,1.2812449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000169347,5.1987457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8121538
ENSG00000183098,0.0,0.0,3.173734,0.0,2.5467088,0.0,0.0,2.1298125,0.0,0.0,0.0,0.0,0.0
ENSG00000171723,1.8144071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000106070,1.7771192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000125675,0.0,0.0,0.51037097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000148180,0.0,0.0,0.0,0.0,0.0,0.0,1.5724111,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000048052,0.0,0.0,0.0,1.6297987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000185352,0.0,0.0,3.3473947,0.0,2.0620055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000125968,0.0,0.0,0.0,0.0,0.0,0.0,2.1639738,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000163453,0.0,2.6107326,0.0,0.0,0.0,0.0,2.501461,0.0,0.0,0.0,0.0,3.161776,0.0
ENSG00000254647,0.0,0.0,0.0,7.045361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000171105,3.023808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000182674,0.0,0.0,2.4111834,1.827441,2.36019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000157542,0.0,0.0,1.5801725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000156113,0.0,0.0,2.2508907,1.5860157,1.8441467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000197584,0.0,0.0,4.0588207,2.0603068,3.6028998,0.0,0.0,3.6266239,0.0,0.0,0.0,0.0,0.0
ENSG00000121210,1.8811373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000171345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4281635,0.0,0.0,0.0
ENSG00000196569,0.0,2.958715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000148346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3088837,0.0,0.0,0.0
ENSG00000169744,0.0,0.0,0.0,0.0,0.0,0.0,2.931833,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000205213,1.9924698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000169783,2.0299568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000174482,0.0,0.0,0.0,1.1136365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000145012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.979622,0.0
ENSG00000144749,0.860819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000134569,0.8920407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000176204,0.0,0.0,2.6442053,0.0,1.9772666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000185565,0.0,1.8364625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000108848,1.6402149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000151276,1.887528,0.0,0.0,0.0,0.0,2.7862883,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000187391,0.0,0.0,3.1590374,2.541639,3.0355206,0.0,0.0,2.4065123,0.0,0.0,0.0,0.0,0.0
ENSG00000251562,5.8782196,4.5545053,4.733366,6.3611856,0.0,0.0,0.0,5.4770613,4.2610054,0.0,3.7184627,6.656643,4.6536827
ENSG00000184384,0.0,2.0313957,0.0,0.0,0.0,2.2677875,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000197442,2.1975803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000109339,0.0,0.0,1.4961727,1.2017281,1.7048616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000139793,1.3528981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000085276,3.1312451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000081189,0.0,0.0,0.0,0.0,0.0,0.0,2.1294694,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000214548,2.6181674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000134138,0.0,0.0,1.7621895,1.9056168,2.0210123,0.0,0.0,2.95153,0.0,0.0,0.0,0.0,0.0
ENSG00000129422,1.6816602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000101335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0816476,0.0
ENSG00000157483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.817662,0.0,0.0,0.0
ENSG00000172915,0.0,0.0,0.0,1.0891557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000245532,3.8224497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000049759,1.8111875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000172260,0.0,2.982413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000169760,0.0,0.0,1.3738109,1.5666955,1.8391931,0.0,0.0,0.560554,0.0,0.0,0.0,0.0,0.0
ENSG00000101746,0.0,0.0,1.1535599,0.91603726,1.3999265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000151322,0.0,0.0,2.1917427,0.0,2.0066888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000247809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.328507,0.0
ENSG00000116833,2.2589104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000157168,0.0,0.0,0.0,2.570816,0.0,0.0,0.0,2.0555146,0.0,0.0,0.0,0.0,0.0
ENSG00000179915,0.0,0.0,2.6478305,1.9710989,2.4850998,0.0,0.0,2.4308114,0.0,0.0,0.0,0.0,0.0
ENSG00000074527,1.8984251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000119547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6657875,0.0,0.0,0.0
ENSG00000077264,1.7784479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000198682,0.0,0.0,1.8248017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000148498,1.812473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000185630,1.8054318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000125851,0.0,0.0,2.2440772,0.0,1.7889502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000099139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4712892,0.0,0.0,0.0
ENSG00000150593,2.3759155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000152270,0.0,0.0,2.208324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000113448,0.0,0.0,3.0045686,1.8422447,2.127503,0.0,0.0,1.9618511,0.0,0.0,0.0,0.0,0.0
ENSG00000113721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6639771,0.0
ENSG00000185615,1.9078939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000133401,0.0,0.0,2.1634603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000162896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9256181,0.0,0.0,0.0
ENSG00000117461,0.0,0.0,0.0,0.0,0.0,0.0,1.9411318,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000154217,1.3277589,0.0,0.0,0.0,0.0,0.0,2.4931145,0.0,0.0,0.0,0.0,0.0,0.0
