cluster,n_cells,percentage
Acinar-mix,3428,4.32
Activated stellate cells,1622,2.04
Alpha cells,840,1.06
Beta cells,1270,1.6
Delta cells,316,0.4
Ductal cells,16354,20.61
Endothelial cells,1710,2.15
Gamma cells,74,0.09
Idling acinar cells,35308,44.49
MUC5B+ ductal cells,62,0.08
Macrophages,551,0.69
Quiescent stellate cells,142,0.18
Secretory acinar cells,17690,22.29
