celltype_main,mean,std,median,count,q1,q3,f_score
endothelial,0.8003331266783056,0.050673428504470625,0.8166612,10883,0.776165,0.83851555,0.962555019691258
stromal,0.5895701474268176,0.2183967747669594,0.683814175,43716,0.5929336000000001,0.7154002450000001,0.9299642604665777
epithelial,0.6139373870142893,0.12237877875378457,0.6580494,19245,0.5600094,0.70647734,0.961015466820017
myeloid,0.4755910844151645,0.17906633829550886,0.5232731,12371,0.47229390000000004,0.550528535,0.9618768871681824
lymphocytes,0.33697703659703687,0.24090223058195204,0.48724139,22282,0.165493845,0.5362932549999999,0.9262214583844832
