index,B-lymphocytes,NK cells,T-lymphocytes,cilliated epithelial,endothelial,epithelial 1,epithelial 2,fibroblast 1,fibroblast 2,fibroblast 3,mast cells,mesothelial,mural cells,myeloid 1,myeloid 2,myeloid 3,pDC,plasma B-lymphocyte
ABRACL,0.0,0.0,0.96310735,0.343299,0.0,0.0,0.6246955,0.0,0.0,0.0,0.641296,0.3176302,0.0,0.6863581,0.62074697,0.524342,0.9803941,0.0
AC004687.1,0.90249896,1.0483217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44566828,0.46745378,0.0,0.77541834,0.0
AC004832.1,0.0,0.0,0.0,0.3413865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC005224.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37142226,0.0
AC007405.3,0.0,0.0,0.0,0.42389524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC007906.2,0.0,0.0,0.0,1.2227001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC007952.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5571582,0.0
AC008771.1,0.0,0.0,0.0,0.47265923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC008915.2,0.0,0.0,0.0,0.22042406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC010273.2,0.0,0.0,0.0,0.24151796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC012236.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20556036
AC013264.1,0.0,0.0,0.0,1.1668541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC013271.1,0.0,0.0,0.0,0.0,0.0,0.0,0.24888526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC013470.2,0.0,0.0,0.0,0.87102497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC020656.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5520183,0.42709887,0.0,0.0,0.0
AC023300.2,0.0,0.0,0.0,0.64688325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC023590.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4487849,0.0
AC025181.2,0.0,0.0,0.0,0.16913153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC027644.3,0.0,0.0,0.0,0.36021724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC060780.1,0.0,0.0,0.0,0.47181153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC084033.3,0.0,0.0,0.0,0.9826565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC092683.1,0.0,0.0,0.0,0.36920738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC092802.1,0.0,0.0,0.0,0.23550773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC096637.2,0.0,0.0,0.0,0.3559117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC097376.2,0.0,0.0,0.0,0.34733647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC119428.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.017365,0.0
AC133794.1,0.0,0.0,0.0,0.23358515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC234582.1,0.0,0.0,0.0,0.24155892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC244090.1,0.0,0.0,0.0,0.43870413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC245041.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5881584,0.0,0.0,0.0,0.0,0.0,0.0
AC245060.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4280936,0.0
AC245297.3,0.0,1.1503992,0.94517326,0.35815316,0.0,0.0,0.40031663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC245595.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15493031,0.46710822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACAA1,0.0,0.0,0.0,0.36350587,0.0,0.0,0.2853524,0.0,0.0,0.0,0.0,0.26360425,0.0,0.49578774,0.5288428,0.29425097,0.53542936,0.0
ACAA2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3244703,0.0,0.0,0.0,0.22915328,0.0,0.0
ACADM,0.0,0.0,0.0,0.33844638,0.0,0.0,0.22109425,0.0,0.0,0.0,0.0,0.32792166,0.0,0.0,0.0,0.0,0.5361856,0.0
ACADVL,0.0,0.0,0.0,0.65616226,0.23962289,0.0,0.6433551,0.41001746,0.47040588,0.57712007,0.0,0.7148938,0.45045936,0.48907924,0.5048814,0.50196874,0.6073235,0.28334558
ACAP1,0.9507753,1.4563327,1.4275373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7124454,0.0
ACAP2,0.0,0.0,0.0,0.3371104,0.3250062,0.0,0.0,0.0,0.29911596,0.0,0.0,0.0,0.0,1.0214912,0.55138266,0.64931095,0.52512705,0.0
ACAT1,0.0,0.0,0.0,0.55560935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11742985,0.0,0.0,0.0,0.0,0.0,0.0
ACBD3,0.0,0.0,0.0,0.3888844,0.0,0.0,0.43261868,0.0,0.4705267,0.0,0.0,0.3298634,0.0,0.0,0.27104515,0.2620703,0.0,0.23034742
ACBD3-AS1,0.0,0.0,0.0,0.5503988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACBD5,0.0,0.0,0.0,0.2731456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACBD6,0.0,0.0,0.0,0.21844414,0.0,0.0,0.19421141,0.0,0.27530187,0.0,0.0,0.28677404,0.0,0.0,0.0,0.0,0.0,0.0
ACER3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32645157,0.33482087,0.0,0.0
ACIN1,0.0,0.0,0.0,0.33675522,0.0,0.0,0.29014117,0.0,0.4140121,0.0,0.0,0.28806663,0.0,0.0,0.3207909,0.30639023,0.37194645,0.0
ACKR1,0.0,0.0,0.0,0.0,2.43663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACLY,0.0,0.0,0.0,0.3498887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACO2,0.0,0.0,0.0,0.44507426,0.0,0.0,0.29926097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACOT13,0.0,0.0,0.0,0.33211768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACOT9,0.0,0.0,0.0,0.23236361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACP1,0.0,0.0,0.0,0.8146232,0.0,0.0,0.7134966,0.31175584,0.36953267,0.0,0.0,0.45699015,0.0,0.0,0.3790398,0.31192392,0.5007584,0.23512611
ACP2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3252233,0.0,0.0
ACP5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.50644886,0.66166925,0.0,0.0
ACSL1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49447387,0.0,0.31368947,0.0,0.0
ACSL3,0.0,0.0,0.0,0.36769277,0.0,0.0,0.2447064,0.0,0.0,0.0,0.0,0.22940224,0.0,0.0,0.0,0.29481283,0.0,0.0
ACSL4,0.0,0.0,0.0,0.0,0.0,0.0,0.374925,0.0,0.0,0.0,1.5490913,0.28049085,0.0,0.48516285,0.39004344,0.32729495,0.0,0.0
ACSL5,0.0,0.0,0.0,0.6150621,0.0,0.0,1.1933999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACTA2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4199769,0.71509385,0.0,0.0,0.0,3.7050886,0.0,0.0,0.0,0.0,0.0
ACTB,2.965341,3.471655,3.3979242,1.9241493,2.567197,2.5492685,2.2934372,2.8824613,3.499985,2.5872984,2.8879087,2.509627,3.2165127,3.9778023,4.042195,3.6973777,3.328531,0.82360077
ACTG1,2.3444924,2.6749036,2.7080503,1.4113531,2.728236,2.6174364,2.320263,3.1489103,3.126636,2.6502385,1.9674351,2.9480226,2.7572212,2.5928311,2.8804302,2.4518182,2.6125882,0.7709254
ACTL6A,0.0,0.0,0.0,0.3375106,0.0,0.0,0.22295082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACTN1,0.0,0.0,0.0,0.3883257,0.6842909,0.0,0.3842696,0.41842896,0.9430138,0.0,0.0,0.39911935,0.8813748,0.43301633,0.5457286,0.0,0.0,0.0
ACTN4,0.0,1.1944306,0.0,1.0685743,1.193686,0.0,0.7637085,0.65557295,0.98877966,0.0,0.0,0.7925836,1.5050507,0.6446432,0.509742,0.42680138,0.9556038,0.0
ACTR10,0.0,0.0,0.0,0.5659223,0.0,0.0,0.36183846,0.32827085,0.39705426,0.44407266,0.0,0.35574502,0.0,0.0,0.0,0.0,0.0,0.0
ACTR2,1.0843521,1.2442927,1.0783813,0.65002584,0.77003914,0.0,0.6866207,0.46844554,0.6564572,0.31907606,0.73313886,0.4979347,0.0,1.839006,1.6633092,1.6119288,1.5971209,0.16430333
ACTR3,1.0658197,1.2949606,1.1084973,0.65772927,0.5964418,0.0,0.66389084,0.37730265,0.72176206,0.0,1.3074733,0.6143628,0.55549055,1.3144733,1.5093505,1.2894864,1.174682,0.19614655
ACTR6,0.0,0.0,0.0,0.41015697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACVRL1,0.0,0.0,0.0,0.0,0.2048594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACYP1,0.0,0.0,0.0,0.8271984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62612444,0.0
ADA2,0.0,0.0,0.0,0.34536004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0906035,0.6142307,0.81024617,0.559283,0.14776775
ADAM10,0.0,0.0,0.0,0.23464322,0.50726455,0.0,0.44208384,0.0,0.48380333,0.0,0.0,0.37452912,0.0,0.76309663,0.38954875,0.5721102,0.4690091,0.0
ADAM15,0.0,0.0,0.0,0.0,0.90577924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADAM17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4280338,0.0,0.31946167,0.0,0.0
ADAM19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6383005,0.0
ADAM28,0.87280864,0.0,0.0,0.0,0.0,0.0,0.1985013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.50870556,0.34801015,0.0,0.0
