cluster_order
fibroblast 3
fibroblast 1
fibroblast 2
mural cells
endothelial
mesothelial
epithelial 1
epithelial 2
cilliated epithelial
mast cells
T-lymphocytes
NK cells
pDC
B-lymphocytes
plasma B-lymphocyte
myeloid 3
myeloid 2
myeloid 1
