index,endothelial,epithelial,lymphocytes,myeloid,stromal
A2M,2.5114582,0.0,0.0,0.0,0.0
AAK1,0.44590643,0.2711244,1.1103588,0.5613552,0.0
AAMDC,0.0,0.34157705,0.0,0.0,0.0
AAMP,0.0,0.27251065,0.0,0.0,0.0
ABCB1,0.6255174,0.0,0.0,0.0,0.0
ABCD4,0.49888593,0.0,0.0,0.0,0.0
ABCE1,0.0,0.25364608,0.0,0.0,0.0
ABCF1,0.0,0.3164462,0.0,0.0,0.0
ABCG2,0.46685833,0.0,0.0,0.0,0.0
ABHD11,0.0,0.44002858,0.0,0.0,0.0
ABHD14B,0.0,0.18695949,0.0,0.0,0.0
ABHD17A,0.62799656,0.33537355,0.94470954,0.42262164,0.0
ABHD2,0.0,0.0,0.0,0.44823682,0.0
ABI1,0.0,0.0,0.0,0.38484722,0.0
ABI2,0.0,0.30696929,0.0,0.0,0.33874118
ABLIM1,0.6325728,0.0,0.0,0.0,0.0
ABR,0.0,0.0,0.0,0.17688082,0.0
ABRACL,0.0,0.5793675,0.7813584,0.62534416,0.0
AC004687.1,0.0,0.0,0.8182404,0.29922226,0.0
AC020656.1,0.0,0.0,0.0,0.525581,0.0
AC245297.3,0.0,0.37218657,0.961233,0.0,0.0
ACAA1,0.0,0.27709964,0.0,0.42099607,0.0
ACADM,0.0,0.22573479,0.0,0.0,0.0
ACADVL,0.23962289,0.64195794,0.0,0.4959491,0.41272122
ACAP1,0.0,0.0,1.3813913,0.0,0.0
ACAP2,0.3250062,0.0,0.0,0.7403187,0.0
ACBD3,0.0,0.41409597,0.0,0.0,0.0
ACBD6,0.0,0.18123849,0.0,0.0,0.0
ACIN1,0.0,0.28268063,0.0,0.0,0.0
ACKR1,2.43663,0.0,0.0,0.0,0.0
ACO2,0.0,0.28867236,0.0,0.0,0.0
ACP1,0.0,0.6943819,0.0,0.0,0.0
ACSL3,0.0,0.23502645,0.0,0.0,0.0
ACSL4,0.0,0.32553238,0.0,0.40294474,0.0
ACSL5,0.0,1.0256131,0.0,0.0,0.0
ACTA2,0.0,0.0,0.0,0.0,0.6142307
ACTB,2.567197,2.2933562,3.375249,3.9101133,2.9393163
ACTG1,2.728236,2.3410408,2.6594272,2.6048546,3.1017313
ACTL6A,0.0,0.20469253,0.0,0.0,0.0
ACTN1,0.6842909,0.3757958,0.0,0.3402878,0.47082895
ACTN4,1.193686,0.7742236,0.8454547,0.54958427,0.7340133
ACTR10,0.0,0.36152664,0.0,0.0,0.29495597
ACTR2,0.77003914,0.6650934,1.1233225,1.704291,0.45750317
ACTR3,0.5964418,0.65350336,1.155752,1.351255,0.3887188
ACVRL1,0.2048594,0.0,0.0,0.0,0.0
ADA2,0.0,0.0,0.0,0.8464754,0.0
ADAM10,0.50726455,0.41177908,0.0,0.5824172,0.0
ADAM15,0.90577924,0.0,0.0,0.0,0.0
ADAM17,0.0,0.0,0.0,0.24825297,0.0
ADAM9,0.0,0.29256904,0.0,0.0,0.0
ADAMTS1,0.0,0.0,0.0,0.0,0.44075733
ADAP2,0.0,0.0,0.0,0.65305316,0.0
ADAR,0.60422194,0.46491617,0.0,0.66999114,0.2788415
ADCY4,0.5383933,0.0,0.0,0.0,0.0
ADCY7,0.0,0.0,0.0,0.36330548,0.0
ADD1,0.57958955,0.39147705,0.0,0.37994578,0.4909629
ADD3,0.0,0.34308624,0.0,0.0,0.0
ADGRA3,0.0,0.23251432,0.0,0.0,0.0
ADGRE5,0.0,0.0,0.6655369,0.5805166,0.0
ADGRF5,0.654953,0.0,0.0,0.0,0.0
ADGRG1,0.0,0.1315778,0.0,0.0,0.0
ADGRL4,1.6171701,0.0,0.0,0.0,0.0
ADH5,0.0,0.91044724,0.0,0.0,0.9083141
ADI1,0.0,0.7287695,0.0,0.38367775,0.5143367
ADIPOR1,0.0,0.19716734,0.0,0.0,0.0
ADIRF,2.011613,0.0,0.0,0.0,0.4690151
ADNP,0.0,0.322941,0.0,0.0,0.0
ADPGK,0.0,0.0,0.0,0.5613552,0.0
