,ACKR1+ endothelium,B cells,CD36+ endothelium,Cycling,Doublets,Enterocytes,Enteroendocrines,Fibs,Glial cells,Goblets,ILC,Lymphatics,MNP,Mast cells,Paneth cells,Pericytes,Plasma cells,Progenitors,SM,T cells,TA
SELENOF,0.0,0.0,0.0,0.95,0.0,0.0,0.9581024497747421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TGFBR3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
RPL5,0.12470802664756775,0.25830424427986143,0.07454017400741578,0.13699241280555724,0.05965594947338104,0.0,0.1343296766281128,0.10494294166564941,0.04648455381393433,0.13548854291439055,0.18202531039714814,0.06048399806022644,0.09765633642673492,0.0652915209531784,0.009407022595405578,0.09252553582191467,0.03559891879558563,0.15964838564395906,0.154656058549881,0.17640108466148377,0.11308159232139588
GCLM,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARHGAP29,0.9,0.0,0.9139412999153137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9115818560123443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CNN3,0.8829250127077103,0.0,0.85,0.0,0.0,0.0,0.0,0.0,0.9135399788618088,0.0,0.0,0.0,0.0,0.0,0.0,0.8640710204839707,0.0,0.0,0.0,0.0,0.0
S1PR1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRPF38B,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GSTM4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LAMTOR5,0.0,0.0,0.0,0.0,0.0,0.0,0.9047662883996963,0.0,0.0,0.8640688717365265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8500782370567321,0.0,0.0,0.85
CD53,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9519800901412964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATP5PB,0.0,0.0,0.0,0.8059193402528763,0.0,0.0,0.8367767482995987,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8351269990205765,0.0,0.0,0.8172154128551483
C1orf162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RAP1A,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WNT2B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
RHOC,0.85,0.0,0.8633648097515106,0.0,0.0,0.8763066411018372,0.0,0.0,0.8917086094617843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CSDE1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TSPAN2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATP1A1,0.0,0.0,0.0,0.0,0.0,0.9409801840782166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9183311134576797,0.0,0.0,0.9
CD2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
REG4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RBM8A,0.0,0.0,0.0,0.9052549451589584,0.0,0.0,0.9079112529754638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9
TXNIP,0.588590207695961,0.5313246935606003,0.6154563248157501,0.0,0.42386887073516843,0.0,0.4,0.5146505415439606,0.484173047542572,0.0,0.5330443173646927,0.5634663760662079,0.4543094426393509,0.0,0.0,0.4825210630893707,0.0,0.0,0.47141170501708984,0.5892917901277542,0.0
ANP32E,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MRPS21,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MCL1,0.6418950259685516,0.0,0.6455100655555726,0.6282917469739914,0.0,0.0,0.6,0.0,0.0,0.677674925327301,0.7445004463195801,0.0,0.7256372332572937,0.7367145359516144,0.0,0.0,0.0,0.0,0.0,0.7184931129217148,0.0
ENSA,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CTSS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S100A10,0.5322381049394608,0.0,0.47991320192813874,0.4201555073261261,0.0,0.49566999077796936,0.4238312870264053,0.4071101486682892,0.587358969449997,0.4975194841623306,0.0,0.5953832596540451,0.4,0.0,0.0,0.0,0.0,0.5071781724691391,0.47429017126560213,0.0,0.5136626750230789
S100A11,0.5849035501480102,0.0,0.6134147435426712,0.0,0.0,0.0,0.55,0.597459802031517,0.6522650480270386,0.629338675737381,0.0,0.0,0.682370400428772,0.0,0.0,0.0,0.0,0.5841200590133667,0.6111434489488602,0.0,0.5996460080146789
S100A6,0.28089273273944854,0.0,0.26856021881103515,0.20565149784088135,0.0,0.4039974570274353,0.37807937562465666,0.35683308243751527,0.4884422093629837,0.479230672121048,0.0,0.26262945830821993,0.2,0.28451567590236665,0.21805500984191895,0.29138480722904203,0.0,0.37257198691368104,0.47220639884471893,0.2144235074520111,0.40187699198722837
S100A4,0.0,0.0,0.0,0.662263137102127,0.0,0.0,0.0,0.0,0.7674733340740204,0.0,0.7071681916713715,0.0,0.65,0.7176432371139526,0.0,0.682246881723404,0.0,0.0,0.7784738123416901,0.7349601238965988,0.0
S100A16,0.0,0.0,0.8433406889438629,0.0,0.0,0.0,0.8520159482955932,0.0,0.0,0.8285869389772416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8006427884101868,0.0,0.0,0.8
S100A14,0.0,0.0,0.0,0.0,0.0,0.8916327118873596,0.0,0.0,0.0,0.8793666124343872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8605492800474167,0.0,0.0,0.85
S100A13,0.8062493473291397,0.0,0.8085525095462799,0.0,0.0,0.0,0.0,0.8164288550615311,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.8152727872133255,0.0,0.0
ILF2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
JTB,0.0,0.0,0.0,0.8058365821838379,0.0,0.0,0.8108377754688263,0.0,0.0,0.8476116806268692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.8293516576290131
RAB13,0.9793057918548584,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RPS27,0.10401166677474975,0.3109228551387787,0.07764682769775391,0.10467880368232726,0.019267168641090394,0.0141049325466156,0.03391002118587494,0.06828352510929107,0.02438226342201233,0.11149177253246308,0.21374712884426117,0.04056110680103302,0.0906307727098465,0.17331471145153046,0.0,0.041702696681022645,0.005125686526298523,0.08942374587059021,0.06206763088703156,0.2437915861606598,0.0882633775472641
TPM3,0.7945448279380798,0.0,0.0,0.8308336108922958,0.0,0.0,0.7659163922071457,0.0,0.0,0.0,0.0,0.0,0.7649980157613754,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.7518222033977509
C1orf43,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CKS1B,0.0,0.0,0.0,0.9663474351167679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95
SSR2,0.0,0.0,0.0,0.7231553494930267,0.6586358666419982,0.0,0.650809907913208,0.0,0.0,0.6857067286968231,0.0,0.0,0.6073337018489837,0.0,0.0,0.0,0.6454838663339615,0.633146595954895,0.6,0.0,0.6784460723400116
