cluster,n_cells,percentage
ACKR1+ endothelium,149,0.46
B cells,3183,9.81
CD36+ endothelium,416,1.28
Cycling,151,0.47
Doublets,4052,12.48
Enterocytes,809,2.49
Enteroendocrines,18,0.06
Fibs,571,1.76
Glial cells,175,0.54
Goblets,230,0.71
ILC,1382,4.26
Lymphatics,96,0.3
MNP,1635,5.04
Mast cells,92,0.28
Paneth cells,34,0.1
Pericytes,121,0.37
Plasma cells,3898,12.01
Progenitors,382,1.18
SM,54,0.17
T cells,14957,46.08
TA,53,0.16
