clusterName,gene
Mast cells,ENSG00000172236
Enterocytes,ENSG00000170231
Enterocytes,ENSG00000015413
Progenitors,ENSG00000102837
Progenitors,ENSG00000115386
Enteroendocrines,ENSG00000100604
TA,ENSG00000203760
TA,ENSG00000164611
Goblets,ENSG00000134193
Paneth cells,ENSG00000188257
Paneth cells,ENSG00000172016
Plasma cells,ENSG00000211677
Plasma cells,ENSG00000211890
Doublets,ENSG00000170476
Doublets,ENSG00000166562
Doublets,ENSG00000132002
T cells,ENSG00000167286
ILC,ENSG00000111796
ILC,ENSG00000011600
Cycling,ENSG00000089685
Cycling,ENSG00000176890
B cells,ENSG00000128218
MNP,ENSG00000204472
MNP,ENSG00000110077
CD36+ endothelium,ENSG00000102755
CD36+ endothelium,ENSG00000065054
ACKR1+ endothelium,ENSG00000213088
Lymphatics,ENSG00000137077
Lymphatics,ENSG00000133800
Pericytes,ENSG00000131055
Pericytes,ENSG00000175183
SM,ENSG00000163017
SM,ENSG00000133392
Fibs,ENSG00000134028
Glial cells,ENSG00000109846
Glial cells,ENSG00000123560
