,ACKR1+ endothelium,B cells,CD36+ endothelium,Cycling,Doublets,Enterocytes,Enteroendocrines,Fibs,Glial cells,Goblets,ILC,Lymphatics,MNP,Mast cells,Paneth cells,Pericytes,Plasma cells,Progenitors,SM,T cells,TA
ENSG00000170231,0.0,0.0,0.0,0.0,0.0,6.7889805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37223822,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000164611,0.0,0.0,0.0,1.0964835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8693314
ENSG00000145936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54533786,0.0,0.0
ENSG00000181163,1.4803386,2.2543173,1.5639937,2.4214053,1.4199144,0.0,1.9606184,1.7011575,0.0,1.835706,1.9597659,0.0,1.7391728,1.964778,0.0,1.628919,0.9353513,2.0403683,1.4363654,2.1720264,1.8640168
ENSG00000120129,2.1459334,1.9989933,2.468401,1.4137607,2.3888535,1.6308987,1.7844496,0.0,1.5877167,2.1039672,3.1972442,1.9852912,2.5076091,2.3599253,0.0,2.2265546,2.0401936,1.6591263,0.0,2.5268564,1.7199056
ENSG00000113732,1.3938415,0.0,1.3551757,0.87390834,0.0,0.0,0.99573016,0.0,1.1813793,0.7704651,0.0,0.0,1.4550298,0.0,0.0,1.149485,0.0,0.6837834,1.2319422,0.0,0.7308157
ENSG00000146066,0.0,0.0,0.0,0.9311854,0.0,0.0,1.3885467,0.0,0.0,1.2320778,0.0,0.0,1.082993,0.0,0.0,0.0,0.0,1.1392729,0.0,0.0,1.4579324
ENSG00000175416,0.0,0.0,0.0,0.0,0.0,1.0759373,0.9397625,0.0,0.0,0.8791063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000169230,0.0,0.0,0.0,0.93908197,0.0,1.42421,0.40428817,0.0,0.0,0.36258355,0.0,0.0,0.7889377,0.0,0.0,0.0,0.0,1.2426822,0.0,0.0,1.1485282
ENSG00000196923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2252072,0.0,0.0
ENSG00000184840,0.0,0.0,0.0,0.0,0.0,0.0,0.85625386,0.0,0.0,0.3413323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000145912,0.0,0.0,0.0,0.0,0.0,0.0,0.9060184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85382694
ENSG00000197451,0.0,0.0,0.0,0.0,0.0,0.0,0.40428817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000169045,0.0,0.0,0.0,0.0,0.0,0.0,1.0639017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7581996
ENSG00000127022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7025479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95531464
ENSG00000161011,0.0,0.0,0.0,0.0,0.0,0.0,1.4534973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000204628,2.6728811,3.1744957,2.4694128,2.9179285,2.3036885,1.7500885,2.8504028,2.4265637,1.7752846,3.0558643,2.8117156,2.3046892,2.7121665,2.8252516,1.4924536,2.127809,1.9663279,2.9893599,2.4934244,2.7595603,2.8739285
ENSG00000112699,0.0,0.0,0.0,0.0,0.0,0.0,0.9649119,0.0,0.0,1.3425488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2146477
ENSG00000021355,0.0,0.0,0.0,0.0,0.0,0.0,0.9374554,0.0,0.0,1.251647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9878217,0.0,0.0,1.1844412
ENSG00000124570,0.0,0.0,0.0,0.0,0.0,0.7944836,0.0,0.0,0.0,0.93608236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8815048,0.0,0.0,0.0
ENSG00000137285,0.0,0.0,0.0,0.0,0.0,0.0,1.0089991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000124785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.200345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000096696,0.0,0.0,0.0,0.0,0.0,0.0,1.3782005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000111843,0.0,0.0,0.0,0.0,0.0,0.0,0.41957653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.74638224,0.0,0.0,0.0
ENSG00000137210,0.0,0.0,0.0,0.0,0.0,0.0,0.8715422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000111859,1.0137535,0.0,1.2264785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000112137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3027846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000112149,0.0,1.3039566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000124795,0.0,0.0,0.0,1.6435732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67543876,0.5387341,0.0,1.1849928
ENSG00000124766,0.0,0.0,0.0,0.0,0.0,0.0,1.1815922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000111802,0.0,0.0,0.0,0.0,0.0,1.0483295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000079689,0.0,0.0,0.0,0.0,0.0,0.0,2.5256944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
