,Ascending vasa recta endothelium,B cell,CD4 T cell,CD8 T cell,Connecting tubule,Descending vasa recta endothelium,Distinct proximal tubule 1,Distinct proximal tubule 2,Epithelial progenitor cell,Fibroblast,Glomerular endothelium,Indistinct intercalated cell,MNP-a/classical monocyte derived,MNP-b/non-classical monocyte derived,MNP-c/dendritic cell,MNP-d/Tissue macrophage,Mast cell,Myofibroblast,NK cell,NKT cell,Neutrophil,Pelvic epithelium,Peritubular capillary endothelium 1,Peritubular capillary endothelium 2,Plasmacytoid dendritic cell,Podocyte,Principal cell,Proliferating Proximal Tubule,Proximal tubule,Thick ascending limb of Loop of Henle,Type A intercalated cell,Type B intercalated cell
RBP7,0.0,0.0,0.0,0.0,0.0,1.2890005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TNFRSF1B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.83826053,1.4512644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DHRS3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51545745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SRARP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6465622,0.0
CLCNKA,0.0,0.0,0.0,0.0,1.306165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6694236,1.3789891
CLCNKB,0.0,0.0,0.0,0.0,1.3936138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9224532,1.6955034
SDHB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8488628,0.6014667
CAPZB,0.0,0.0,0.0,0.0,0.7998591,0.0,0.0,0.0,0.0,2.296528,0.0,0.0,0.0,1.3711501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.992924,0.0,0.0,0.0,0.0,0.0,0.6956566,1.0357988
MICOS10,0.0,0.0,0.0,0.0,1.7136309,0.0,1.0942863,0.0,0.0,0.0,0.0,2.5931125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.694067,0.0,0.0,1.9388305,1.7903546,1.8644006
NBL1,0.0,0.0,0.0,0.0,0.0,0.0,0.66617084,0.0,0.0,1.1123564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
