,B_CD27neg,B_CD27pos,Blood_vessel,Dendritic_Cells,Epi_basal,Epi_dividing,Epi_stratified,Epi_suprabasal,Epi_upper,Glands_duct,Glands_mucous,Lymph_vessel,Mast_cell,Mono_macro,NK_T_CD8_Cytotoxic,Stroma,T_CD4,T_CD8
NDUFS4,0.0,0.0,0.0,0.0,0.7647058823529411,0.7647058823529411,0.7647058823529411,0.7647058823529411,0.0,0.7647058823529411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GZMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
PLPP1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
PART1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SREK1IP1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MAST4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCNB1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KGD4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TAF9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BTF3,0.0,0.13026008185218363,0.2545895225861493,0.20088455957524917,0.3803166571785422,0.48867135889389934,0.4032885782858905,0.44275426514008465,0.2945254830753102,0.3552123238058651,0.32711228552986593,0.13026008185218363,0.0,0.0,0.0,0.20088455957524917,0.0,0.0
HEXB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NSA2,0.0,0.0,0.0,0.0,0.0,0.8235294117647058,0.8235294117647058,0.8235294117647058,0.0,0.0,0.8235294117647058,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TBCA,0.0,0.0,0.47058823529411764,0.47058823529411764,0.47058823529411764,0.7008845595752492,0.6225583307883319,0.47058823529411764,0.6225583307883319,0.47058823529411764,0.47058823529411764,0.0,0.0,0.0,0.0,0.47058823529411764,0.0,0.0
RPS23,0.08338840218151317,0.10844672778073479,0.13380009987775018,0.13380009987775018,0.23423753766452565,0.36833326255573945,0.27296578533509197,0.26678786908879,0.028375260970171762,0.19702506065368652,0.24098549169652603,0.09488681134055643,0.0,0.015634154572206384,0.028375260970171762,0.09488681134055643,0.058770369080936205,0.0040778482661527745
TMEM167A,0.0,0.0,0.0,0.0,0.0,0.9411764705882353,0.0,0.0,0.0,0.0,0.9411764705882353,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COX7C,0.0,0.0,0.15197009549421422,0.15197009549421422,0.3978172225110671,0.49899394021314736,0.45323749149546905,0.3662526116651647,0.15197009549421422,0.3978172225110671,0.45323749149546905,0.15197009549421422,0.0,0.0,0.0,0.15197009549421422,0.0,0.0
GLRX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
