cluster_name,skos,manual_mapped_cid,cell_ontology_id
Adipo,,,CL:0000136
CM,,,CL:0000746
EC,,,CL:0010008
Fib,,,CL:0002548
Lymph,,,CL:0000542
Mast,,,CL:0000097
Mural,,,CL:0008034
Myel,,,CL:0000763
Neuro,,,CL:0010022
PKHD1L1+ EC,,,CL:0010008
