,Endothelial1,Endothelial2,Fibroblast,Lymphocyte,Macrophage,Microvasculature,Smooth Muscle,Uncharacterized
HES4,0.0,0.0,0.0,0.0,0.0,1.3518417,0.602391,0.0
ISG15,0.0,0.32424083,0.0,0.0,0.0,0.0,0.0,0.0
SDF4,0.5673747,0.6410497,0.9873074,0.0,0.57796717,0.54732585,0.7450814,0.6074265
MXRA8,0.0,0.0,1.4360911,0.0,0.0,0.0,0.5337955,1.3617914
AURKAIP1,0.68909717,0.6604322,0.72651553,0.7575069,0.7839088,0.90377843,0.78692234,0.7657849
CCNL2,0.43549782,0.5299867,0.34260002,0.0,0.0,0.0,0.0,0.0
MRPL20,0.8315503,0.75910515,0.8218293,0.58522546,0.77273023,0.994576,0.9794079,0.86143565
VWA1,0.79371953,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SSU72,0.5769387,0.4268512,0.52909696,0.0,0.6433865,0.5945691,0.5897311,0.5027966
MMP23B,0.0,0.0,0.54013,0.0,0.0,0.0,0.0,0.0
GNB1,0.8671707,0.7806094,0.5975232,0.2013169,1.0018249,0.69527906,0.6477061,0.62617135
FAAP20,0.34514958,0.0,0.3698638,0.0,0.4599757,0.54233605,0.4389454,0.43073446
SKI,0.0,0.5622589,0.0,0.0,0.0,0.0,0.0,0.0
RER1,0.53695095,0.5196452,0.7804493,0.0,0.7438097,0.7399787,0.6627022,0.8001459
TNFRSF14,0.0,0.25905147,0.0,0.0,0.3829786,0.0,0.0,0.0
RPL22,2.9970336,2.8393033,2.5845966,2.8378284,2.6187274,2.5406091,2.731871,2.6018484
CAMTA1,0.6888093,0.61241424,0.5307356,0.0,0.59037614,1.0129154,1.0998361,0.5296993
VAMP3,0.6988964,0.55972296,0.4556622,0.0,0.5755732,0.53112555,0.6112558,0.5366263
PARK7,1.1680114,0.9887943,1.3889441,1.1318157,1.0987623,1.5945132,1.7360957,1.3128235
ERRFI1,0.0,0.0,0.4164065,0.0,0.0,0.0,0.0,0.0
RERE,0.37475905,0.0,0.0,0.0,0.0,0.0,0.31844023,0.0
ENO1,1.147243,1.0053824,1.3759685,1.144208,1.6429231,1.1202955,1.4536047,1.2054799
CLSTN1,0.0,0.0,0.2972461,0.0,0.0,0.0,0.0,0.0
RBP7,1.364562,0.56869483,0.0,0.0,0.0,0.0,0.0,0.0
KIF1B,0.0,0.0,0.0,0.0,0.26593226,0.0,0.0,0.0
PGD,0.0,0.0,0.0,0.0,0.4148847,0.0,0.0,0.0
SRM,0.32594746,0.0,0.6953293,0.0,0.40077126,0.5565104,0.5187355,0.80826586
ANGPTL7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5543563
AGTRAP,0.27463913,0.0,0.5662477,0.0,0.5224778,0.0,0.0,0.36268118
PLOD1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36268118
TNFRSF1B,0.57578623,0.50740916,0.0,0.0,0.85657895,0.0,0.0,0.0
DHRS3,0.0,1.0035363,0.57699007,0.0,0.2309699,0.0,0.0,0.0
EFHD2,0.4052652,0.0,0.0,0.0,1.1183043,0.0,0.0,0.0
PLEKHM2,0.0,0.0,0.0,0.0,0.34496927,0.0,0.0,0.0
FBLIM1,0.0,1.3102479,0.0,0.0,0.0,0.77379894,1.4451627,0.0
SPEN,0.0,0.25910547,0.32728678,0.0,0.27616578,0.0,0.3200177,0.0
HSPB7,0.0,0.0,0.0,0.0,0.0,0.0,0.721534,0.0
SZRD1,0.0,0.0,0.26336038,0.0,0.22025023,0.0,0.3969024,0.0
NECAP2,0.0,0.48654372,0.0,0.0,0.4590784,0.0,0.0,0.0
SDHB,0.07702181,0.0,0.4152838,0.0,0.539503,0.6199872,0.53763855,0.5027966
IGSF21,0.0,0.0,0.0,0.0,0.4222407,0.0,0.0,0.0
AKR7A2,0.0,0.0,0.40949053,0.0,0.0,0.39981318,0.37993717,0.0
CAPZB,0.98383397,0.8642202,0.9004979,0.89932555,1.4950612,1.1646383,1.1732867,1.0028436
MICOS10,0.7513242,0.6369104,0.7861626,0.60149056,1.0215378,1.234982,1.0459286,0.7756752
NBL1,0.46420866,0.0,1.103458,0.0,0.0,0.76729643,0.6250899,0.6447712
PLA2G2A,0.0,0.0,1.8114333,0.0,0.0,0.0,0.0,0.0
CAMK2N1,0.0,0.0,0.0,0.0,0.0,0.5947962,0.0,0.0
CDA,0.0,0.58435845,0.0,0.0,0.0,0.0,0.0,0.0
PINK1,0.3531975,0.4969797,0.35291424,0.0,0.0,0.50049675,0.4044676,0.0
DDOST,0.5022422,0.52270126,0.71259046,0.0,0.5212521,0.411428,0.4626676,0.5891767
HP1BP3,0.82166845,1.0973473,0.93292403,0.8386512,0.6315247,0.7720251,0.8088641,0.98260355
EIF4G3,0.20796354,0.0,0.0,0.0,0.300979,0.0,0.0,0.0
ECE1,0.74378204,1.1609554,0.22592631,0.0,0.0,0.0,0.0,0.0
USP48,0.0,0.5097612,0.24370325,0.0,0.0,0.0,0.0,0.0
HSPG2,1.5517677,2.657795,0.64701164,0.0,0.0,0.0,0.652295,0.0
CDC42,1.4784622,1.4846798,1.0176952,1.3436639,1.6985881,1.3893496,1.3293096,1.0616281
C1QA,0.0,0.0,0.0,0.0,3.2364945,0.0,0.0,0.0
C1QC,0.0,0.0,0.0,0.0,3.190246,0.0,0.0,0.0
C1QB,0.0,0.0,0.0,0.0,3.3602521,0.0,0.0,0.0
LUZP1,0.796228,0.63042593,0.0,0.0,0.33193827,0.0,0.0,0.0
HNRNPR,0.78460515,0.8749674,0.7506815,0.7207349,0.6985532,0.8290745,0.7401829,0.91482323
ID3,2.7867079,2.5033476,0.9420724,0.0,0.0,2.2692387,1.8433496,0.75862193
RPL11,3.7913818,3.535161,3.3010602,3.770306,3.3052301,3.1122575,3.1558704,3.3875127
PITHD1,0.0,0.0,0.27081555,0.0,0.3142532,0.0,0.32117957,0.0
FUCA1,0.0,0.0,0.0,0.0,0.49105245,0.0,0.0,0.0
PNRC2,0.6223141,0.70562667,0.5652119,0.0,0.5226035,0.6142578,0.56660974,0.52292496
SRSF10,0.6642333,0.9164408,0.5509745,0.0,0.4624058,0.6369841,0.62882614,0.60481304
SRRM1,1.0487006,1.0877318,0.92725825,1.1051252,1.0151541,0.9762603,0.97379553,1.077596
CLIC4,1.0232582,1.0919898,0.8172962,0.0,0.40915748,0.8971021,1.2111884,0.79876447
SYF2,1.034345,0.9307757,0.9104842,0.8175494,0.7512136,0.99379843,0.95455265,0.9164408
RSRP1,0.77460164,0.894166,0.6242064,1.2396603,0.9330994,0.60192376,0.4534863,0.48977652
TMEM50A,0.97093993,0.8897755,1.063601,0.7207349,0.9484298,1.1594265,0.967006,0.86453813
SELENON,0.52256393,0.53541976,0.0,0.0,0.0,0.0,0.0,0.0
MTFR1L,0.0,0.0,0.0,0.0,0.0,0.0,0.374909,0.0
STMN1,0.58495635,0.0,0.0,0.75433147,0.5494223,0.0,0.0,0.0
FAM110D,0.7495024,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SH3BGRL3,1.6764722,1.7620547,1.5312486,2.1505864,2.7106233,1.040452,1.3346257,1.0860173
HMGN2,0.8958781,0.8749674,1.1006057,1.0422608,0.9209434,1.3795311,1.1638453,1.4943235
RPS6KA1,0.0,0.0,0.0,0.0,0.33198306,0.0,0.0,0.0
ARID1A,0.0,0.0,0.0,0.0,0.39722192,0.0,0.0,0.0
NUDC,0.5834174,0.51491207,0.6580368,0.07683325,0.56316924,0.76104456,0.8466698,0.7563553
WASF2,1.2171105,1.1647345,1.2824274,0.50720686,1.0934474,1.0595503,1.0299152,1.3265545
FGR,0.0,0.0,0.0,0.0,0.3897953,0.0,0.0,0.0
IFI6,0.5077777,0.7371818,0.0,0.0,0.0,0.0,0.32978085,0.0
STX12,0.39736682,0.0,0.0,0.0,0.5869878,0.4240858,0.0,0.4659483
THEMIS2,0.0,0.0,0.0,0.0,0.5596265,0.0,0.0,0.0
RPA2,0.0,0.0,0.3797838,0.0,0.0,0.0,0.0,0.0
PTAFR,0.0,0.0,0.0,0.0,0.33363378,0.0,0.0,0.0
DNAJC8,0.8349024,0.9086347,0.79460025,0.5918961,0.7915299,0.8049584,0.8319899,0.8001459
ATP5IF1,1.042799,1.0222775,0.9395044,0.9514682,0.95642316,1.0800302,1.1250033,0.9773013
PHACTR4,0.61336374,0.6040598,0.0,0.0,0.2821522,0.0,0.0,0.0
SNHG12,0.0,0.0,0.0,0.0,0.42220452,0.0,0.0,0.0
YTHDF2,0.47532177,0.0,0.0,0.0,0.36809438,0.0,0.0,0.0
SRSF4,0.6004526,0.48780248,0.45033956,0.0,0.4720527,0.5275876,0.52663016,0.47772834
LAPTM5,0.0,0.0,0.0,1.1389616,2.5010152,0.0,0.0,0.0
PUM1,0.417863,0.4969797,0.30478135,0.0,0.39957896,0.0,0.0,0.0
TINAGL1,1.1153381,1.0968376,0.0,0.0,0.0,2.2345917,1.5058452,0.0
PEF1,0.4211857,0.0,0.0,0.0,0.0,0.43730694,0.52335894,0.0
PTP4A2,0.64585453,0.7790424,0.9275581,0.81762004,0.92253846,0.7041255,0.6864403,1.0529243
KHDRBS1,0.8172314,0.84562516,0.71639395,0.23369163,0.67828596,0.76560026,0.6749573,0.7155248
EIF3I,0.81887627,0.62413263,0.817667,0.0,0.6424347,0.7880976,0.7383064,0.89673656
HDAC1,0.34900254,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MARCKSL1,0.90046823,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZBTB8OS,0.0,0.0,0.0,0.0,0.29509896,0.0,0.2279879,0.0
RBBP4,0.3884078,0.25905147,0.34517974,0.0,0.4290502,0.38258544,0.29417306,0.53357667
AK2,0.23182304,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PHC2,0.278149,0.0,0.5785173,0.0,0.66844624,0.61466706,0.4756328,0.6074265
SMIM12,0.0,0.0,0.0,0.0,0.0,0.6066477,0.34673938,0.0
GJA4,0.0,0.0,0.0,0.0,0.0,1.2308688,0.0,0.0
SFPQ,0.9350263,0.9086347,0.65530705,1.0572841,0.94974005,0.78626025,0.5574175,0.62276775
PSMB2,0.62588197,0.63042593,0.5857407,0.0,0.6249587,0.67520547,0.6409378,0.7652005
TRAPPC3,0.0,0.0,0.0,0.0,0.43135715,0.38040018,0.43238956,0.0
MAP7D1,0.0,0.0,0.0,0.0,0.39466512,0.0,0.3375677,0.0
THRAP3,0.78036916,0.8019005,0.8243372,0.69476956,0.72392416,0.8248947,0.8146635,0.7756752
EVA1B,0.47912937,0.5028999,0.6211509,0.0,0.0,0.5098144,0.5517384,0.40554845
LSM10,0.0,0.0,0.0,0.0,0.4390629,0.0,0.0,0.0
MRPS15,0.25846136,0.0,0.40746674,0.0,0.4360871,0.5790943,0.44663727,0.3798203
MEAF6,0.0,0.37179026,0.40265182,0.0,0.3858508,0.4649998,0.5759657,0.47772834
C1orf122,0.0,0.48654372,0.7563353,0.0,0.38852277,0.66462076,0.77578586,0.68371576
AKIRIN1,0.0,0.0,0.0,0.0,0.3073734,0.3061226,0.25441664,0.0
NDUFS5,1.1126058,1.2402272,1.3930771,1.1368449,1.2309661,1.6330407,1.6903579,1.3333381
MACF1,0.9516295,1.4212232,0.6541629,0.0,0.6662512,0.7062006,0.96164167,0.4843807
PABPC4,0.0,0.0,0.40156192,0.0,0.7822689,0.3934886,0.26301658,0.0
PPIE,0.0,0.0,0.0,0.0,0.0,0.0,0.25952664,0.0
CAP1,0.8633076,0.8160333,0.7220609,1.1318157,1.7068582,1.4496684,1.3052862,0.8047306
PPT1,0.0,0.0,0.0,0.0,1.2571553,0.39441502,0.45793384,0.0
SMAP2,0.0,0.0,0.0,0.5178711,1.0815738,0.0,0.0,0.0
PPCS,0.51095897,0.3801564,0.528682,0.0,0.52354115,0.3941058,0.563707,0.41222757
YBX1,2.2066536,2.1288955,2.1500754,2.0384102,2.5549517,2.4828587,2.4627824,2.303283
SVBP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44509113
SLC2A1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6537198
EBNA1BP2,0.0,0.0,0.0,0.0,0.0,0.34141934,0.33881477,0.0
TIE1,0.683854,0.62413263,0.0,0.0,0.0,0.0,0.0,0.0
ELOVL1,0.3406941,0.26796025,0.0,0.0,0.39734197,0.0,0.0,0.0
HYI,0.0,0.0,0.0,0.0,0.0,0.30032063,0.53013074,0.0
ATP6V0B,0.681504,0.76513904,0.60687554,0.9355433,1.6826684,0.76162237,0.7068875,0.62276775
ERI3,0.0,0.0,0.22169288,0.0,0.0,0.0,0.2902307,0.0
RPS8,4.1461744,3.844696,3.6551409,3.6815133,3.4329906,3.6766708,3.4644523,3.9381251
UROD,0.0,0.0,0.0,0.0,0.0,0.3362952,0.31329012,0.41804907
PRDX1,1.7095678,1.9381928,1.8215549,1.440882,1.682138,1.7372754,1.8559711,1.8952467
AKR1A1,0.4612339,0.44729742,0.576409,0.0,0.9373621,0.37692988,0.49635655,0.5891767
NASP,0.93235207,0.890001,0.35962227,0.17045884,0.613791,0.46060646,0.0,0.269369
PIK3R3,0.7728245,0.55972296,0.0,0.0,0.0,0.0,0.0,0.0
UQCRH,1.3158199,1.0973473,1.1151053,1.2726574,1.470428,1.6278844,1.3748636,1.075089
MKNK1,0.0,0.0,0.0,0.0,0.52377963,0.0,0.0,0.0
EFCAB14,0.52921194,0.5048187,0.33812034,0.0,0.41860846,0.29443586,0.35114232,0.2829775
CYP4B1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40554845
CYP4X1,0.0,0.37890995,0.0,0.0,0.0,0.0,0.0,0.0
CMPK1,0.6172708,0.65988994,0.79756117,0.21341237,0.6199571,0.6237107,0.84712654,0.6476461
FOXD2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42409465
SPATA6,0.0,0.0,0.4671452,0.0,0.0,0.0,0.0,0.0
CDKN2C,0.0,0.0,0.30072713,0.0,0.0,0.0,0.33106428,0.0
RNF11,0.0,0.6053603,0.3022053,0.0,0.0,0.31164604,0.56269777,0.0
EPS15,0.0,0.41544127,0.4725755,0.0,0.58389044,0.0,0.0,0.40554845
OSBPL9,0.0,0.0,0.55914474,0.0,0.0,0.43737984,0.4479915,0.0
NRDC,0.2856139,0.50685734,0.45619094,0.0,0.48017168,0.3379035,0.32934785,0.48337796
TXNDC12,0.43883395,0.48780248,0.36525282,0.0,0.56006885,0.0,0.0,0.0
BTF3L4,0.31560266,0.0,0.45809403,0.0,0.61823606,0.5310602,0.46949047,0.46123344
TUT4,0.28695062,0.6040598,0.0,0.0,0.0,0.0,0.2532791,0.47633687
ECHDC2,0.0,0.0,0.38849956,0.0,0.0,0.0,0.0,0.269369
SCP2,0.8547961,0.9222418,0.96988606,0.5780102,0.881765,0.801194,0.84048027,1.0134181
PODN,0.0,0.0,1.3167255,0.0,0.0,0.0,0.0,0.7490319
CZIB,0.447563,0.45403087,0.516544,0.0,0.0,0.6292465,0.633427,0.48416546
MAGOH,0.5730656,0.54045886,0.46335456,0.0,0.5354198,0.5416745,0.48707566,0.37117603
IFT25,0.0,0.0,0.0,0.0,0.29194558,0.36046088,0.25911182,0.45447168
TMEM59,1.3555408,1.6037027,1.7151107,1.2014911,1.2235143,1.4430907,1.6088995,1.6096779
SSBP3,0.0,0.0,0.0,0.0,0.0,0.0,0.33783203,0.0
PLPP3,0.0,0.51813084,0.7596805,0.0,0.0,0.32478523,0.0,0.69327223
JUN,1.4273216,1.0506214,1.3539351,2.259394,2.0147607,1.9135506,0.6337382,1.6164345
NFIA,0.9041321,1.5337877,1.3788881,0.0,0.0,0.7403368,1.1260289,1.043381
TM2D1,0.0,0.52815306,0.4797607,0.0,0.0,0.3969766,0.4720927,0.47772834
USP1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44153532
JAK1,1.0509137,0.7952826,0.9875584,0.8261255,0.78655326,1.0413208,0.60259664,0.654429
LEPROT,1.3333793,1.5569221,1.3948487,0.0,0.8079212,1.4031177,1.3393004,1.271466
LEPR,0.0,0.94906014,0.48291385,0.0,0.0,0.0,0.0,0.0
MIER1,0.5365969,0.68106985,0.6242132,0.0,0.38695437,0.5577419,0.59927547,0.49677813
SERBP1,1.6800754,1.50835,1.2366911,1.0954227,1.2139761,1.2773516,1.2646143,1.2259822
GADD45A,0.3371001,0.0,0.3732801,0.0,0.0,0.51519823,0.9389634,0.52292496
GNG12,0.45640266,0.69727254,0.7231542,0.0,0.0,0.57682204,0.72927,0.5027966
WLS,0.0,0.5836918,0.0,0.0,0.0,0.0,0.0,0.0
SRSF11,1.0456402,1.077596,1.0821326,1.0394535,0.8143834,0.9447629,0.8660518,1.0336349
ZRANB2,0.5410144,0.8899164,0.7657541,0.0,0.32986918,0.55075663,0.783182,0.5708125
NEGR1,0.0,0.0,0.74340445,0.0,0.0,0.0,0.0,0.4780542
TYW3,0.0,0.0,0.22871482,0.0,0.0,0.28644568,0.2784801,0.0
ACADM,0.0,0.0,0.0,0.0,0.0,0.0,0.29640293,0.43073446
RABGGTB,0.0,0.0,0.0,0.0,0.33787912,0.0,0.0,0.0
PIGK,0.0,0.0,0.0,0.0,0.0,0.0,0.3327322,0.0
USP33,0.0,0.0,0.3412314,0.0,0.0,0.0,0.0,0.0
NEXN,0.0,0.0,0.99227375,0.0,0.0,1.8522351,2.0829408,0.52376556
DNAJB4,0.46773487,0.8702635,0.0,0.0,0.0,0.656072,0.40561935,0.0
GIPC2,0.0,0.3974298,0.0,0.0,0.0,0.0,0.0,0.0
IFI44L,0.0,0.58903384,0.0,0.0,0.0,0.0,0.0,0.0
IFI44,0.0,0.0,0.0,0.0,0.35397622,0.0,0.0,0.0
ADGRL4,1.6637348,0.6885294,0.0,0.0,0.0,0.0,0.0,0.0
TTLL7,0.0,0.0,0.0,0.0,0.0,0.621409,0.8473741,0.0
PRKACB,0.0,0.0,0.0,0.0,0.31206736,0.0,0.0,0.0
GNG5,1.4033337,1.6870185,1.141437,1.0524385,1.570318,1.1709303,1.3414955,1.1694969
CTBS,0.2594056,0.5253421,0.47262093,0.0,0.52422917,0.0,0.36789584,0.0
CCN1,0.0,0.6393958,0.7978277,0.0,0.0,0.89820045,0.56260014,0.37117603
ODF2L,0.5832132,0.67543036,0.33530718,0.0,0.0,0.0,0.0,0.0
SH3GLB1,1.0436491,1.1698159,0.74352014,0.23165904,0.96505713,0.83076996,0.7184755,0.7490319
SELENOF,0.79618347,1.0599406,0.98255134,0.655867,0.8740711,0.6912278,0.57855165,0.8945078
LMO4,0.0,0.0,1.164166,0.51500684,0.6676359,1.0703962,0.69274783,0.8047306
PKN2,0.56072223,0.6736348,0.4315651,0.0,0.29733956,0.4037972,0.3973418,0.4780542
GTF2B,0.0,0.0,0.0,0.0,0.3956297,0.0,0.0,0.0
GBP2,0.38264573,0.0,0.0,0.0,0.4490339,0.5028356,0.30620232,0.0
GBP4,0.0,0.6297366,0.0,0.0,0.0,0.0,0.0,0.0
ZNF644,0.31028616,0.20198841,0.0,0.0,0.0,0.0,0.0,0.0
TGFBR3,0.73613167,0.5040909,0.6575845,0.0,0.0,0.0,0.0,0.40554845
EVI5,0.0,0.59714645,0.29209077,0.0,0.0,0.0,0.35251242,0.0
RPL5,3.3654351,2.978419,2.9730794,3.174993,2.728804,3.0937624,3.1328743,3.1709893
TMED5,0.0,0.0,0.21547443,0.0,0.5765457,0.0,0.0,0.0
FNBP1L,0.6452234,0.3974298,0.0,0.0,0.0,0.0,0.0,0.0
DNTTIP2,0.0,0.0,0.0,0.0,0.35638377,0.0,0.0,0.0
ARHGAP29,1.3124597,1.2494987,0.5083579,0.0,0.0,0.8462897,0.5054312,0.31978545
F3,0.0,0.0,0.3885759,0.0,0.0,0.0,0.0,0.37117603
CNN3,1.3840051,0.7570358,1.0910044,0.0,0.0,1.3697835,1.1857848,1.4988297
DPYD,0.0,0.0,0.29058683,0.0,0.47737974,0.0,0.0,0.0
SNX7,0.0,0.0,0.0,0.0,0.0,0.36501712,0.36059225,0.0
PALMD,1.4329548,1.4531443,0.0,0.0,0.0,0.0,0.0,0.0
S1PR1,0.88545156,0.72858965,0.0,0.0,0.0,0.0,0.0,0.0
SLC25A24,0.0,0.0,0.0,0.0,0.50831866,0.0,0.0,0.0
PRPF38B,0.522408,0.47470096,0.40937802,0.24223742,0.6092783,0.41576645,0.4133076,0.36268118
STXBP3,0.0,0.0,0.0,0.0,0.2767474,0.0,0.19753736,0.41222757
GPSM2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48918992
SARS1,0.52587926,0.68421835,0.57852584,0.0,0.43358454,0.7032223,0.67134583,0.6174872
SORT1,0.0,0.0,0.0,0.0,0.31600475,0.8074621,0.8674375,0.0
PSMA5,0.44391608,0.46618056,0.47692156,0.5155355,0.58412147,0.6424134,0.5193554,0.5296993
GNAI3,0.4949716,0.38700745,0.3909142,0.0,0.7163405,0.47897607,0.3796792,0.4843807
GSTM3,0.0,0.0,0.8789699,0.0,0.0,0.5168166,0.46154773,0.6774265
CSF1,0.0,0.0,0.4058321,0.0,0.0,0.0,0.0,0.0
AHCYL1,0.27659035,0.402471,0.59299517,0.0,0.41489923,0.5708965,0.40170085,0.49176693
LAMTOR5,0.8252915,0.7985627,0.8315869,0.39394557,0.84373283,0.85713184,0.8220048,0.87964314
CD53,0.0,0.0,0.0,0.8247032,1.3905185,0.0,0.0,0.0
DRAM2,0.0,0.0,0.0,0.0,0.5793099,0.0,0.0,0.0
ATP5PB,0.73023,0.5258226,0.69148886,0.37333363,0.9491653,0.99064785,0.7341162,0.7743494
C1orf162,0.0,0.0,0.0,0.0,1.4739127,0.0,0.0,0.0
RAP1A,0.68786454,0.33877373,0.39577252,0.30489397,1.0132561,0.6664125,0.68649745,0.49492112
CTTNBP2NL,0.65563,0.7985627,0.0,0.0,0.0,0.0,0.0,0.0
CAPZA1,0.47291714,0.4973077,0.47061568,0.27784717,1.0567298,0.45709258,0.33559495,0.570913
RHOC,1.5704724,1.2411383,0.97511923,0.0,1.0393287,1.3822207,1.2480593,1.071184
RSBN1,0.0,0.32093444,0.0,0.0,0.0,0.0,0.0,0.0
OLFML3,0.0,0.0,0.8332013,0.0,0.0,0.0,0.0,0.0
BCAS2,0.0,0.0,0.0,0.0,0.0,0.31597954,0.3410926,0.0
CSDE1,1.1970551,1.3585612,1.1669008,0.9858045,1.1202955,1.3420956,1.4685389,1.1966803
TSPAN2,0.0,0.6040598,0.0,0.0,0.0,0.0,0.4368993,0.0
CASQ2,0.0,0.0,0.0,0.0,0.0,0.780017,0.7511822,0.0
ATP1A1,1.1025622,0.98333615,0.7479169,0.0,0.8106352,0.27941722,0.41396713,0.0
CD58,0.0,0.5028999,0.0,0.0,0.46965888,0.0,0.0,0.0
MAN1A2,0.0,0.38699228,0.3818977,0.0,0.0,0.0,0.2810325,0.483664
PHGDH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5027966
SEC22B,0.0,0.0,0.4644061,0.0,0.31480482,0.0,0.43544006,0.0
ENSG00000198019,0.0,0.0,0.0,0.0,0.45992002,0.0,0.0,0.0
RNF115,0.5792819,0.5541532,0.37210515,0.0,0.0,0.56611586,0.62254757,0.0
ANKRD35,0.0,0.0,0.3002178,0.0,0.0,0.0,0.0,0.0
ITGA10,0.0,0.93124753,0.0,0.0,0.0,0.0,0.37768626,0.0
RBM8A,0.93125534,0.7922951,0.6319165,0.88428897,0.7439255,0.6471263,0.6255038,0.68734807
LIX1L,0.0,0.0,0.0,0.0,0.0,0.0,0.2734303,0.0
POLR3GL,0.5110791,0.51813084,0.3382994,0.0,0.3514482,0.0,0.39848953,0.0
TXNIP,3.0346594,1.8327914,2.1876104,2.5082068,2.2133312,1.9346721,0.9878096,2.608205
GJA5,0.0,1.7880946,0.0,0.0,0.0,0.0,0.0,0.0
PDE4DIP,0.0,0.0,0.39041296,0.0,0.0,0.0,0.59176075,0.0
ENSG00000274265,0.0,0.0,0.2484511,0.0,0.0,0.0,0.40051085,0.0
FCGR1A,0.0,0.0,0.0,0.0,1.1669198,0.0,0.0,0.0
PLEKHO1,0.0,0.0,0.0,0.0,0.9679332,0.7364435,0.6030461,0.0
ANP32E,0.0,0.16184847,0.33984905,0.0,0.38758492,0.0,0.5201497,0.0
APH1A,0.5277537,0.62405217,0.4276668,0.0,0.6516235,0.0,0.0,0.48254558
C1orf54,0.0,0.0,0.0,0.0,0.38416258,0.44388723,0.45149755,0.0
MRPS21,0.7758179,0.7470195,0.8724736,0.551085,0.79984224,0.95654655,0.9321803,1.0226574
ECM1,0.0,0.0,0.5180763,0.0,0.0,0.0,0.0,0.0
MCL1,0.70611995,0.98333615,0.6127433,0.5641066,1.2426417,0.6148718,0.49242175,0.61595625
ENSA,0.7719472,0.64453465,0.56705534,0.26216114,0.72425306,0.75079954,0.6949269,0.7141387
CTSS,0.0,0.0,0.0,0.0,2.008072,0.0,0.0,0.0
CTSK,0.0,0.0,0.8838028,0.0,0.0,0.0,0.0,0.49943757
CERS2,0.2811399,0.5299867,0.4579125,0.0,0.46781284,0.0,0.36443853,0.483664
CDC42SE1,0.0,0.0,0.0,0.0,0.5313561,0.0,0.0,0.0
TNFAIP8L2,0.0,0.0,0.0,0.0,0.2998821,0.0,0.0,0.0
PSMD4,0.64747244,0.6979313,0.6458277,0.26588774,0.6686434,0.8209373,0.7411264,0.77878726
SELENBP1,0.0,0.0,0.45763534,0.0,0.0,0.62173814,0.32627428,0.38144797
PSMB4,0.6917378,0.814243,0.6566781,0.23232411,0.6432259,0.8036218,0.84982014,0.7032738
SNX27,0.0,0.0,0.0,0.0,0.3038202,0.0,0.0,0.0
S100A10,2.3255024,1.6412815,2.4089305,1.8266578,2.5961516,0.0,1.3020208,2.0432017
S100A11,2.173225,1.8778844,2.5555592,1.6166914,3.199423,1.9406663,2.3764205,1.9330568
S100A9,0.0,0.0,0.0,0.0,1.670392,0.0,0.0,0.0
S100A6,2.8480926,3.5282562,3.8878193,2.723959,3.3806067,3.5249238,3.971805,4.090961
S100A4,0.0,0.3245487,2.0711927,2.763967,3.4907436,2.3248527,2.79458,1.7855366
S100A16,1.130181,0.86625135,0.59259117,0.0,0.0,0.0,0.58572304,0.75862193
S100A13,1.1836448,1.3931016,1.896477,0.0,0.0,0.0,0.8367529,1.3009014
SNAPIN,0.0,0.0,0.0,0.0,0.0,0.41860855,0.36063838,0.0
ILF2,0.6171332,0.5836918,0.48398715,0.0,0.52444005,0.44405654,0.48975205,0.64087963
NPR1,0.36593032,0.65304524,0.0,0.0,0.0,0.0,0.0,0.0
SLC39A1,0.52801037,0.48821545,0.5713655,0.0,0.66057926,0.49826902,0.43959236,0.49176693
JTB,0.7183409,0.6979313,0.8668878,0.9059518,0.9300844,0.71956456,0.7401935,0.7155248
RAB13,1.4748998,1.2402272,1.0540595,0.0,0.7544657,1.2738719,1.0754281,1.0466477
RPS27,3.7679117,3.5574937,3.5310585,3.9293697,3.4660783,3.6774232,3.3811464,3.5245752
TPM3,1.5677879,1.3956671,0.8188702,1.2021327,1.8948545,0.2308722,0.0,1.1186973
C1orf43,0.62277806,0.58903384,0.5320652,0.0,0.82473886,0.72105134,0.6816529,0.56498235
UBAP2L,0.0,0.0,0.0,0.0,0.31609792,0.0,0.0,0.0
HAX1,0.4742652,0.3908213,0.53086513,0.559296,0.48305675,0.60713184,0.63523674,0.5366263
SHE,0.6691327,0.78952795,0.0,0.0,0.0,0.0,0.0,0.0
ADAR,0.47761208,0.6620418,0.0,0.0,0.37154573,0.0,0.0,0.0
PMVK,0.0,0.0,0.28822955,0.0,0.39842469,0.41860855,0.5139158,0.0
PBXIP1,0.0,0.0,0.0,0.0,0.0,0.5304471,0.61204696,0.0
