,Endothelial1,Endothelial2,Fibroblast,Lymphocyte,Macrophage,Microvasculature,Smooth Muscle,Uncharacterized
TTC19,0.375512,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NCOR1,0.6690397,0.65402985,0.6143748,0.79526615,0.6066097,0.74910533,0.7006153,0.64459914
UBB,1.5889125,1.7370485,1.5614032,1.6793463,1.6871408,1.8486514,1.8601296,1.7755392
MPRIP,0.0,0.0,0.0,0.0,0.0,0.69812155,0.4304332,0.0
RASD1,0.0,0.0,0.0,0.0,0.0,0.25093517,0.0,0.0
SREBF1,0.0,0.0,0.30291605,0.0,0.0,0.0,0.0,0.0
FLII,0.0,0.0,0.0,0.0,0.42931667,0.0,0.0,0.0
EPN2,0.0,0.24748819,0.0,0.0,0.0,0.5272127,0.23951827,0.49677813
MFAP4,0.0,0.0,1.158139,0.0,0.0,0.0,2.143857,0.0
SPECC1,0.0,0.0,0.0,0.0,0.0,0.5489353,0.4406184,0.0
USP22,0.27659035,0.55972296,0.42899936,0.0,0.0,0.0,0.0,0.4843807
MAP2K3,0.0,0.0,0.0,0.0,0.37678003,0.0,0.0,0.0
WSB1,0.9896121,1.9886428,0.8828315,0.63294303,1.2530086,0.8101673,0.78661835,0.7168093
LGALS9,0.0,0.0,0.0,0.0,0.85545003,0.0,0.0,0.0
IFT20,0.0,0.0,0.35381615,0.0,0.0,0.0,0.1561134,0.0
SDF2,0.0,0.34780496,0.37045288,0.0,0.0,0.0,0.38497937,0.0
RAB34,0.0,0.0,0.9359784,0.0,0.4272725,0.6603421,0.883961,0.9803087
RPL23A,3.0812454,2.861129,2.8393521,2.932662,2.737032,3.0929325,2.9721613,2.901722
FLOT2,0.0,0.46461478,0.0,0.0,0.0,0.0,0.0,0.0
NUFIP2,0.5448648,0.77719617,0.45987338,0.0,0.7117198,0.0,0.0,0.0
TAOK1,0.37693006,0.6053603,0.34421968,0.0,0.5062809,0.0,0.0,0.0
SSH2,0.0,0.0,0.0,0.0,0.27948266,0.0,0.0,0.0
NSRP1,0.71098757,0.72058326,0.62461644,0.0,0.44104055,0.65927017,0.8607589,0.5553213
CPD,0.35259825,0.20198841,0.0,0.0,0.0,0.0,0.0,0.0
GOSR1,0.0,0.404451,0.0,0.0,0.0,0.0,0.25870964,0.0
ADAP2,0.0,0.0,0.0,0.0,1.0411036,0.0,0.0,0.0
RNF135,0.0,0.0,0.0,0.0,0.31967407,0.0,0.0,0.0
NF1,0.0,0.0,0.22234935,0.0,0.0,0.0,0.0,0.0
EVI2B,0.0,0.0,0.0,0.0,1.097902,0.0,0.0,0.0
EVI2A,0.0,0.0,0.0,0.0,0.61472535,0.0,0.0,0.0
COPRS,0.0,0.51813084,0.5232959,0.0,0.0,0.31642312,0.82942045,0.0
SUZ12,0.18066199,0.0,0.0,0.0,0.32535303,0.0,0.0,0.0
ZNF207,0.5632669,0.6620418,0.4690083,0.0,0.5304768,0.393681,0.3991917,0.46123344
PSMD11,0.23914216,0.31618604,0.39075196,0.0,0.45419884,0.4565732,0.36821437,0.45447168
MYO1D,0.0,0.0,0.0,0.0,0.0,0.0,0.6803235,0.0
TMEM98,0.0,0.44571635,0.6414757,0.0,0.0,0.0,0.0,0.49492112
CCL2,0.0,0.0,0.0,0.0,0.3728472,0.0,0.0,0.0
SLFN5,0.8186281,0.53099495,0.0,0.0,0.0,0.0,0.0,0.0
SLFN11,0.0,0.0,0.0,0.0,0.38225973,0.0,0.0,0.0
AP2B1,0.584587,0.72858965,0.5026807,0.0,0.3832608,0.30395514,0.0,0.43073446
TAF15,0.49636915,0.5634298,0.0,0.0,0.316297,0.3019082,0.39908785,0.0
MMP28,0.0,0.50685734,0.0,0.0,0.0,0.0,0.0,0.0
CCL14,0.9078251,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCL3,0.0,0.0,0.0,0.0,1.8525853,0.0,0.0,0.0
CCL4,0.0,0.0,0.0,0.0,2.308518,0.0,0.0,0.0
CCL3L3,0.0,0.0,0.0,0.0,0.4893918,0.0,0.0,0.0
CCL4L2,0.0,0.0,0.0,0.0,0.5030447,0.0,0.0,0.0
ZNHIT3,0.0,0.0,0.0,0.0,0.0,0.0,0.2969393,0.0
GGNBP2,0.5053203,0.5917968,0.52397615,0.17957073,0.51169384,0.54625297,0.5357283,0.6035713
CISD3,0.0,0.0,0.29389364,0.0,0.45287,0.5602299,0.4219243,0.49492112
PCGF2,0.39756605,0.6297366,0.0,0.0,0.0,0.0,0.0,0.0
PSMB3,0.8545245,0.82428324,0.8320192,0.810566,1.0757303,1.0381787,0.8315015,0.8939098
RPL23,2.7552223,2.4479697,2.3358045,2.2146575,2.5928607,2.5894244,2.398168,2.3877304
LASP1,0.0,0.0,0.0,0.0,0.42098692,0.0,0.0,0.0
RPL19,3.5802026,3.3875618,3.1564252,3.5958724,3.2216816,3.2236056,3.2107759,3.2354863
CDK12,0.0,0.12731242,0.0,0.0,0.0,0.0,0.0,0.0
MIEN1,0.0,0.3801564,0.0,0.0,0.41805363,0.49218684,0.40111297,0.0
PSMD3,0.0,0.0,0.15887529,0.0,0.35543236,0.33609837,0.0,0.40554845
THRA,0.0,0.0,0.31257874,0.0,0.0,0.64522344,0.53951037,0.0
IGFBP4,2.5308228,1.9665393,2.471464,0.0,0.0,1.893047,0.0,1.9468074
KRT10,0.9118736,1.1750603,1.0340486,0.88371134,0.6491045,0.8023808,0.8069693,1.1044462
EIF1,2.7168212,2.7308438,2.6870403,2.9251022,2.8053904,2.6619682,2.5875905,2.6252031
FKBP10,0.0,0.0,0.64785254,0.0,0.0,0.0,0.40304667,0.0
NT5C3B,0.0,0.0,0.0,0.0,0.0,0.5410733,0.4265095,0.0
DNAJC7,0.46773487,0.44318616,0.3749351,0.0,0.52122426,0.41250408,0.3289706,0.48337796
RAB5C,0.8286927,0.6364492,0.5667087,0.0,1.2081839,0.7524573,0.661168,0.5358899
STAT3,0.93699217,0.93124753,0.74319255,0.43454143,0.53179,0.7664319,0.5311625,0.53357667
CAVIN1,1.7722015,1.9553488,1.3795714,0.0,0.0,2.1138062,2.067748,1.9974316
ATP6V0A1,0.0,0.0,0.0,0.0,0.4019873,0.0,0.0,0.0
MLX,0.0,0.0,0.0,0.0,0.41177174,0.0,0.0,0.0
RAMP2,1.9971479,2.4065766,0.0,0.0,0.0,0.0,0.0,0.654429
COA3,0.34152192,0.3629207,0.37428212,0.0,0.3439029,0.5626974,0.48101926,0.56170774
AOC3,0.0,0.0,0.0,0.0,0.0,1.0313649,0.76316243,0.0
RPL27,2.6820917,2.6153064,2.3156657,2.3283052,2.4828413,2.5806642,2.359901,2.4407964
VAT1,0.4754599,0.4890435,0.38412526,0.0,0.0,0.0,0.0,0.0
NBR1,0.0,0.0,0.27106756,0.0,0.0,0.0,0.20289135,0.0
ARL4D,0.0,0.48342562,0.0,0.0,0.0,0.0,0.0,0.0
DUSP3,0.0,0.21081725,0.0,0.0,0.29434675,0.0,0.0,0.0
LSM12,0.0,0.0,0.0,0.0,0.3492843,0.0,0.0,0.0
UBTF,0.29689974,0.5241307,0.35071927,0.0,0.0,0.0,0.28395295,0.0
SLC25A39,0.0,0.0,0.0,0.0,0.36675644,0.0,0.0,0.0
GRN,0.892174,0.96961504,0.7363206,0.0,1.9122078,0.552614,0.51617575,0.5963395
NMT1,0.0,0.3629207,0.5122966,0.0,0.443093,0.42139298,0.38425225,0.4659483
HEXIM1,0.6695611,0.0,0.41952622,1.0480292,0.7884792,0.92039096,0.40128428,0.8001459
FMNL1,0.0,0.0,0.0,0.0,0.5778556,0.0,0.0,0.0
KANSL1,0.34730592,0.3416839,0.25203565,0.0,0.0,0.0,0.0,0.0
CDC27,0.2535472,0.54045886,0.0,0.0,0.0,0.0,0.0,0.0
NPEPPS,0.0,0.6430974,0.3991272,0.0,0.0,0.0,0.0,0.40554845
KPNB1,0.71102715,0.62236744,0.6297161,0.0,0.76068014,0.56746006,0.5426377,0.5963395
COPZ2,0.0,0.0,0.67890775,0.0,0.0,0.0,0.61383,0.63977665
NFE2L1,0.6165441,0.5917968,0.36069745,0.0,0.0,0.4296915,0.40208584,0.4780542
CBX1,0.0,0.21081725,0.34361124,0.0,0.0,0.0,0.38153172,0.0
HOXB2,0.0,0.0,0.0,0.0,0.0,0.3402012,0.30532527,0.0
CALCOCO2,0.943995,0.89314216,0.78028375,0.0,0.3958438,0.6190461,0.6408584,0.8199586
ATP5MC1,0.6294396,0.684998,0.8119734,0.61335033,0.5932065,0.90390956,0.85392374,0.82449895
UBE2Z,0.0,0.3798203,0.0,0.0,0.0,0.0,0.0,0.0
SNF8,0.45303696,0.0,0.51493967,0.0,0.5337079,0.7661854,0.62530184,0.6074265
PHB1,0.58363044,0.51813084,0.58902496,0.0,0.6514807,0.69948184,0.63071156,0.7467761
NGFR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2382668
SPOP,0.42372984,0.4233353,0.4831994,0.0,0.0,0.58998173,0.5506946,0.48136154
ITGA3,0.0,0.0,0.0,0.0,0.0,0.0,0.35989758,0.0
SGCA,0.0,0.0,0.0,0.0,0.0,0.5143571,1.0168593,0.0
COL1A1,0.0,0.0,1.3623314,0.0,0.0,0.40263546,1.0237515,0.8570926
MRPL27,0.0,0.0,0.39902073,0.0,0.35091844,0.47803122,0.40504062,0.42409465
LUC7L3,0.8207592,1.2577856,0.8257415,0.7688862,0.71448493,0.7763083,0.90122986,0.934402
TOB1,0.0,0.0,0.0,0.8834982,0.48416653,0.9730067,0.49742132,0.85429186
SPAG9,0.84710777,1.1475242,0.7510729,0.0,0.6605849,0.5124442,0.5254481,0.67259985
NME1,0.0,0.0,0.0,0.0,0.41751796,0.34062454,0.0,0.3798203
COX11,0.0,0.0,0.23381913,0.0,0.0,0.41063112,0.36133644,0.46123344
DGKE,0.0,0.38483605,0.0,0.0,0.0,0.0,0.0,0.0
SCPEP1,0.0,0.21081725,0.92937267,0.0,0.6332542,0.5908251,0.71036935,0.52292496
AKAP1,0.0,0.0,0.0,0.0,0.0,0.50444865,0.0,0.0
MRPS23,0.0,0.0,0.0,0.0,0.33211285,0.41892874,0.36780685,0.0
VEZF1,0.0,0.21081725,0.0,0.0,0.0,0.39767018,0.28722477,0.0
SRSF1,0.0,0.2908757,0.0,0.0,0.30679816,0.0,0.0,0.0
SUPT4H1,0.45096928,0.38699228,0.4403895,0.0,0.6313289,0.5012914,0.46989492,0.5358899
SEPTIN4,0.0,0.0,0.0,0.0,0.0,0.6906506,0.19946696,0.0
SKA2,0.0,0.0,0.0,0.0,0.0,0.0,0.318655,0.0
YPEL2,0.0,0.0,0.0,0.0,0.0,0.0,0.22859675,0.0
CLTC,0.5959369,0.7807376,0.58381456,0.0,1.0020168,0.5534924,0.5385655,0.49943757
VMP1,0.3003688,0.0,0.6118926,0.0,0.7739558,0.4976554,0.3379992,0.0
TBX2-AS1,0.0,0.0,0.0,0.0,0.0,0.49376184,0.0,0.0
TBX2,0.0,0.0,0.0,0.0,0.0,1.1046834,0.46431834,0.0
MRC2,0.0,0.0,0.5637479,0.0,0.0,0.0,0.0,0.0
TANC2,0.0,0.12731242,0.0,0.0,0.0,0.0,0.0,0.0
CCDC47,0.6509825,1.0536841,0.5381867,0.0,0.5933335,0.47307646,0.41040945,0.48416546
DDX42,0.13410369,0.41380203,0.2918464,0.0,0.0,0.0,0.36858308,0.0
PSMC5,0.73213017,0.65567404,0.89038175,0.4341434,0.6736114,1.0240467,0.9176805,0.8928866
SMARCD2,0.0,0.0,0.3777659,0.0,0.0,0.0,0.0,0.45447168
CD79B,0.29692423,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ICAM2,0.9118366,0.79984224,0.0,0.0,0.0,0.0,0.0,0.0
PECAM1,2.2512484,2.5683074,0.0,0.0,0.40824294,0.0,0.0,0.0
DDX5,1.9963087,2.218555,1.7068582,2.0631628,2.0431635,2.0102267,1.6281989,1.7212659
SMURF2,0.0,0.4268512,0.0,0.0,0.0,0.0,0.0,0.0
GNA13,0.0,0.0,0.0,0.0,0.35935467,0.0,0.0,0.0
HELZ,0.0,0.0,0.0,0.0,0.41188335,0.0,0.0,0.0
PSMD12,0.31142074,0.4461814,0.4100592,0.0,0.41361976,0.4632127,0.453727,0.0
BPTF,0.82243675,0.7952826,0.66606706,0.75231516,0.55601835,0.6255243,0.59506035,0.7141387
WIPI1,0.0,0.0,0.2501335,0.0,0.0,0.0,0.0,0.0
PRKAR1A,0.6956945,0.89067817,0.7545115,0.0,0.7144048,0.7608928,0.82942635,0.83536416
ABCA8,0.0,0.0,1.1591012,0.0,0.0,0.0,0.0,1.5942079
ABCA9,0.0,0.0,0.6781185,0.0,0.0,0.0,0.0,0.6458057
ABCA6,0.0,0.0,1.2542307,0.0,0.0,0.0,0.0,1.077596
ABCA10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48136154
SOX9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6370363
CDC42EP4,0.26383322,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RPL38,2.7724123,2.5239103,2.353074,2.6915193,2.6567497,2.4954371,2.4876323,2.4286497
GPRC5C,0.0,0.0,0.0,0.0,0.0,0.87139416,0.52465117,0.0
CD300A,0.0,0.0,0.0,0.0,0.42272997,0.0,0.0,0.0
ATP5PD,0.90637076,0.968448,1.096019,0.9154103,1.2265495,1.2858348,1.1816229,1.0288166
NT5C,0.0,0.0,0.5313706,0.0,0.4208344,0.49093017,0.45934677,0.6056816
JPT1,0.0,0.0,0.0,0.0,0.67591643,0.0,0.0,0.0
SUMO2,1.6730239,1.7122959,1.5405668,1.5101798,1.5774019,1.8630964,1.7814181,1.7827541
MRPS7,0.0,0.0,0.29531407,0.0,0.3661251,0.52429944,0.39919013,0.0
GRB2,0.37997705,0.54045886,0.24437416,0.4703246,1.2153492,0.37075233,0.3571492,0.0
CASKIN2,0.503353,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITGB4,0.5297568,0.5299867,0.0,0.0,0.0,0.0,0.0,0.0
GALK1,0.0,0.0,0.0,0.0,0.30526465,0.0,0.0,0.0
H3-3B,2.4873788,2.418346,2.3834531,2.9836779,2.4710412,2.7163882,2.4145088,2.7397795
WBP2,0.336753,0.4461814,0.0,0.0,0.4565299,0.0,0.4165605,0.0
TRIM47,0.39528918,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UBALD2,0.2176359,0.0,0.0,0.515972,0.6495193,0.0,0.0,0.0
PRPSAP1,0.27556655,0.0,0.0,0.0,0.0,0.0,0.0,0.0
